"Regionsnavn";"Antal første vacc. personer";"Antal faerdigvacc. personer";"Antal borgere"
Nordjylland;453766;421429;591152
Midtjylland;1012215;921686;1337417
Syddanmark;923302;843278;1225473
Hovedstaden;1351028;1250145;1859521
Sjælland;632093;595462;842300
