"Regionsnavn";"Antal første vacc.";"Antal faerdigvacc.";"Vacc.dækning foerste vacc. (%)";"Vacc.dækning faerdigvacc. (%)";"Antal borgere"
Nordjylland;453766;421429;76.8;71.3;591152
Midtjylland;1012215;921686;75.7;68.9;1337417
Syddanmark;923302;843278;75.3;68.8;1225473
Hovedstaden;1351028;1250145;72.7;67.2;1859521
Sjælland;632093;595462;75.0;70.7;842300
