"Regionsnavn";"Aldersgruppe";"sex";"Antal første vacc.";"Antal faerdigvacc."
Hovedstaden;0-9;K;8;0
Hovedstaden;0-9;M;2;0
Hovedstaden;10-19;K;53881;39702
Hovedstaden;10-19;M;55655;40130
Hovedstaden;20-29;K;109071;96869
Hovedstaden;20-29;M;103752;91747
Hovedstaden;30-39;K;96623;77289
Hovedstaden;30-39;M;98520;84452
Hovedstaden;40-49;K;106695;102550
Hovedstaden;40-49;M;104038;100438
Hovedstaden;50-59;K;111073;109362
Hovedstaden;50-59;M;109934;108189
Hovedstaden;60-69;K;88579;87931
Hovedstaden;60-69;M;84012;83340
Hovedstaden;70-79;K;82967;82642
Hovedstaden;70-79;M;69754;69484
Hovedstaden;80-89;K;38266;38067
Hovedstaden;80-89;M;25862;25753
Hovedstaden;90+;K;8997;8891
Hovedstaden;90+;M;3339;3309
Midtjylland;0-9;K;2;1
Midtjylland;0-9;M;6;0
Midtjylland;10-19;K;47558;35007
Midtjylland;10-19;M;48954;35322
Midtjylland;20-29;K;71911;59648
Midtjylland;20-29;M;74040;59984
Midtjylland;30-39;K;59803;45082
Midtjylland;30-39;M;62739;48585
Midtjylland;40-49;K;74473;71813
Midtjylland;40-49;M;73278;70276
Midtjylland;50-59;K;83166;82149
Midtjylland;50-59;M;83447;82361
Midtjylland;60-69;K;73938;73529
Midtjylland;60-69;M;72280;71888
Midtjylland;70-79;K;64676;64529
Midtjylland;70-79;M;60324;60169
Midtjylland;80-89;K;29304;29188
Midtjylland;80-89;M;22594;22526
Midtjylland;90+;K;6712;6643
Midtjylland;90+;M;3010;2986
Nordjylland;0-9;K;2;0
Nordjylland;0-9;M;0;0
Nordjylland;10-19;K;19830;15283
Nordjylland;10-19;M;20876;15666
Nordjylland;20-29;K;28306;24285
Nordjylland;20-29;M;32055;26960
Nordjylland;30-39;K;24532;19784
Nordjylland;30-39;M;25929;21142
Nordjylland;40-49;K;31124;30112
Nordjylland;40-49;M;31057;29839
Nordjylland;50-59;K;37669;37193
Nordjylland;50-59;M;38004;37445
Nordjylland;60-69;K;35707;35537
Nordjylland;60-69;M;34977;34787
Nordjylland;70-79;K;31966;31878
Nordjylland;70-79;M;30238;30152
Nordjylland;80-89;K;14864;14805
Nordjylland;80-89;M;11623;11582
Nordjylland;90+;K;3405;3387
Nordjylland;90+;M;1602;1592
Sjælland;0-9;K;1;1
Sjælland;0-9;M;2;1
Sjælland;10-19;K;28511;20875
Sjælland;10-19;M;30070;21858
Sjælland;20-29;K;26812;23876
Sjælland;20-29;M;29823;26697
Sjælland;30-39;K;31975;26981
Sjælland;30-39;M;31518;27124
Sjælland;40-49;K;47765;46360
Sjælland;40-49;M;45470;43991
Sjælland;50-59;K;58590;57894
Sjælland;50-59;M;58759;58087
Sjælland;60-69;K;52520;52206
Sjælland;60-69;M;50819;50532
Sjælland;70-79;K;49882;49721
Sjælland;70-79;M;45670;45555
Sjælland;80-89;K;21197;21103
Sjælland;80-89;M;16373;16319
Sjælland;90+;K;4421;4380
Sjælland;90+;M;1915;1901
Syddanmark;0-9;K;3;2
Syddanmark;0-9;M;3;1
Syddanmark;10-19;K;42733;32208
Syddanmark;10-19;M;43787;32351
Syddanmark;20-29;K;50286;40975
Syddanmark;20-29;M;54697;43555
Syddanmark;30-39;K;49364;36454
Syddanmark;30-39;M;50936;37922
Syddanmark;40-49;K;67380;63776
Syddanmark;40-49;M;65270;61172
Syddanmark;50-59;K;80188;79104
Syddanmark;50-59;M;80865;79628
Syddanmark;60-69;K;73340;72851
Syddanmark;60-69;M;72063;71593
Syddanmark;70-79;K;65606;65422
Syddanmark;70-79;M;60860;60655
Syddanmark;80-89;K;31602;31485
Syddanmark;80-89;M;24043;23964
Syddanmark;90+;K;7133;7045
Syddanmark;90+;M;3143;3115
