"dato";"kommunenavn";"sex";"Paabegyndt vacc. idag";"Faerdigvacc. idag";"Paabegyndt vacc. igaar";"Faerdigvacc. igaar";"Paabegyndt vacc. difference";"Faerdigvaccineret difference"
2021-08-23;København;K;232221;209896;231968;208812;253;1084
2021-08-23;København;M;222223;202840;222017;201952;206;888
2021-08-23;Frederiksberg;K;42000;38798;41954;38635;46;163
2021-08-23;Frederiksberg;M;36891;34252;36859;34107;32;145
2021-08-23;Ballerup;K;18417;17169;18401;17140;16;29
2021-08-23;Ballerup;M;17026;15806;17017;15762;9;44
2021-08-23;Brøndby;K;12045;11243;12043;11223;2;20
2021-08-23;Brøndby;M;11103;10370;11098;10359;5;11
2021-08-23;Dragør;K;5703;5319;5695;5313;8;6
2021-08-23;Dragør;M;5311;4970;5307;4965;4;5
2021-08-23;Gentofte;K;29485;27652;29450;27521;35;131
2021-08-23;Gentofte;M;26400;24759;26376;24671;24;88
2021-08-23;Gladsaxe;K;25300;23523;25273;23429;27;94
2021-08-23;Gladsaxe;M;24327;22526;24290;22442;37;84
2021-08-23;Glostrup;K;8527;7924;8523;7902;4;22
2021-08-23;Glostrup;M;8100;7516;8094;7508;6;8
2021-08-23;Herlev;K;10682;9870;10665;9837;17;33
2021-08-23;Herlev;M;9779;9013;9770;8987;9;26
2021-08-23;Albertslund;K;9317;8608;9313;8590;4;18
2021-08-23;Albertslund;M;8881;8079;8874;8064;7;15
2021-08-23;Hvidovre;K;19133;17756;19115;17717;18;39
2021-08-23;Hvidovre;M;18073;16805;18060;16762;13;43
2021-08-23;Høje Tåstrup;K;17680;16377;17672;16332;8;45
2021-08-23;Høje Tåstrup;M;17354;16033;17348;16002;6;31
2021-08-23;Lyngby-Taarbæk;K;22376;20896;22362;20848;14;48
2021-08-23;Lyngby-Taarbæk;M;21130;19668;21110;19620;20;48
2021-08-23;Rødovre;K;14919;13850;14902;13813;17;37
2021-08-23;Rødovre;M;13720;12767;13705;12723;15;44
2021-08-23;Ishøj;K;7226;6617;7223;6606;3;11
2021-08-23;Ishøj;M;6936;6362;6931;6353;5;9
2021-08-23;Tårnby;K;15838;14726;15817;14699;21;27
2021-08-23;Tårnby;M;14920;13800;14905;13776;15;24
2021-08-23;Vallensbæk;K;5694;5280;5692;5270;2;10
2021-08-23;Vallensbæk;M;5512;5129;5509;5125;3;4
2021-08-23;Furesø;K;15872;14785;15854;14745;18;40
2021-08-23;Furesø;M;14705;13789;14690;13750;15;39
2021-08-23;Allerød;K;10267;9651;10250;9616;17;35
2021-08-23;Allerød;M;9719;9188;9712;9157;7;31
2021-08-23;Fredensborg;K;15843;14917;15832;14888;11;29
2021-08-23;Fredensborg;M;14451;13634;14446;13616;5;18
2021-08-23;Helsingør;K;24728;23228;24726;23214;2;14
2021-08-23;Helsingør;M;22563;21217;22557;21213;6;4
2021-08-23;Hillerød;K;20298;19201;20274;19133;24;68
2021-08-23;Hillerød;M;19198;18098;19186;18035;12;63
2021-08-23;Hørsholm;K;10433;9858;10425;9846;8;12
2021-08-23;Hørsholm;M;8963;8524;8957;8509;6;15
2021-08-23;Rudersdal;K;22718;21175;22701;21126;17;49
2021-08-23;Rudersdal;M;21164;19849;21147;19821;17;28
2021-08-23;Egedal;K;16962;15813;16947;15748;15;65
2021-08-23;Egedal;M;16384;15282;16368;15241;16;41
2021-08-23;Frederikssund;K;18170;17136;18159;17101;11;35
2021-08-23;Frederikssund;M;17262;16233;17252;16186;10;47
2021-08-23;Greve;K;18705;17451;18698;17422;7;29
2021-08-23;Greve;M;17754;16569;17747;16539;7;30
2021-08-23;Køge;K;23347;21962;23328;21839;19;123
2021-08-23;Køge;M;22460;21154;22441;21015;19;139
2021-08-23;Halsnæs;K;12252;11668;12243;11632;9;36
2021-08-23;Halsnæs;M;11771;11182;11766;11141;5;41
2021-08-23;Roskilde;K;35062;32687;35029;32527;33;160
2021-08-23;Roskilde;M;32889;30668;32859;30510;30;158
2021-08-23;Solrød;K;8974;8424;8968;8400;6;24
2021-08-23;Solrød;M;8480;8016;8473;7989;7;27
2021-08-23;Gribskov;K;16010;15291;15998;15236;12;55
2021-08-23;Gribskov;M;15618;14852;15600;14807;18;45
2021-08-23;Odsherred;K;12993;12440;12988;12424;5;16
2021-08-23;Odsherred;M;12746;12147;12742;12124;4;23
2021-08-23;Holbæk;K;28049;26424;28028;26314;21;110
2021-08-23;Holbæk;M;26934;25299;26918;25206;16;93
2021-08-23;Faxe;K;13823;13140;13817;13102;6;38
2021-08-23;Faxe;M;13856;13118;13845;13069;11;49
