Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  57.276 (49);  60.818 (51); 118.094
10-19;  93.432 (50);  92.028 (50); 185.460
20-29; 101.307 (50); 100.339 (50); 201.646
30-39;  79.084 (51);  74.763 (49); 153.847
40-49;  78.353 (52);  71.771 (48); 150.124
50-59;  60.993 (50);  61.253 (50); 122.246
60-69;  30.868 (49);  32.288 (51);  63.156
70-79;  17.304 (50);  17.466 (50);  34.770
80-89;   7.390 (55);   5.950 (45);  13.340
90+;   2.287 (68);   1.063 (32);   3.350
I alt; 528.294 (51); 517.739 (49);1.046.033
