Dato;AG_testede;AG_pos;AGpos_PCRkonf;Andel_AGpos_PCRkonf_pct;AGpos_minusPCRkonf;Andel_AGminusPCRkonf_pct;AGpos_PCRpos;AGposPCRneg;AGnegPCRpos;AGnegPCRneg
2021-02-01;4795;8;4;50;4;50;2;2;2;293
2021-02-02;4615;8;5;62,5;3;37,5;5;0;5;308
2021-02-03;4838;9;5;55,5555555555556;4;44,4444444444444;5;0;6;343
2021-02-04;4476;4;2;50;2;50;2;0;5;322
2021-02-05;4342;7;5;71,4285714285714;2;28,5714285714286;4;1;6;280
2021-02-06;2578;8;6;75;2;25;6;0;3;262
2021-02-07;3009;11;7;63,6363636363636;4;36,3636363636364;7;0;6;326
2021-02-08;6924;11;6;54,5454545454545;5;45,4545454545455;6;0;5;439
2021-02-09;6054;6;4;66,6666666666667;2;33,3333333333333;4;0;5;390
2021-02-10;7035;13;5;38,4615384615385;8;61,5384615384615;4;1;1;498
2021-02-11;9004;11;6;54,5454545454545;5;45,4545454545455;5;1;3;535
2021-02-12;9143;9;4;44,4444444444444;5;55,5555555555556;3;1;4;477
2021-02-13;4822;13;7;53,8461538461539;6;46,1538461538462;6;1;6;339
2021-02-14;4771;13;9;69,2307692307692;4;30,7692307692308;7;2;9;435
2021-02-15;17069;48;24;50;24;50;17;7;25;1155
2021-02-16;16850;59;44;74,5762711864407;15;25,4237288135593;33;10;19;1340
2021-02-17;26044;85;52;61,1764705882353;33;38,8235294117647;43;9;20;2014
2021-02-18;29911;51;40;78,4313725490196;11;21,5686274509804;33;4;30;1801
2021-02-19;34065;85;54;63,5294117647059;31;36,4705882352941;42;12;37;1829
2021-02-20;21575;62;41;66,1290322580645;21;33,8709677419355;33;8;36;1624
2021-02-21;20178;94;66;70,2127659574468;28;29,7872340425532;59;4;41;1693
2021-02-22;25490;82;62;75,609756097561;20;24,390243902439;45;15;27;1898
2021-02-23;29337;100;70;70;30;30;58;10;34;2040
2021-02-24;29599;91;57;62,6373626373626;34;37,3626373626374;43;12;33;2113
2021-02-25;28183;84;53;63,0952380952381;31;36,9047619047619;44;9;20;1624
2021-02-26;36098;77;49;63,6363636363636;28;36,3636363636364;35;14;41;1826
2021-02-27;22385;71;49;69,0140845070423;22;30,9859154929577;43;6;17;1560
2021-02-28;24238;93;68;73,1182795698925;25;26,8817204301075;55;13;29;1973
2021-03-01;35084;73;56;76,7123287671233;17;23,2876712328767;37;17;17;2197
2021-03-02;38020;90;73;81,1111111111111;17;18,8888888888889;47;24;25;2078
2021-03-03;43733;105;73;69,5238095238095;32;30,4761904761905;36;37;43;3331
2021-03-04;55948;178;147;82,5842696629213;31;17,4157303370787;48;95;31;3608
2021-03-05;64330;168;133;79,1666666666667;35;20,8333333333333;44;88;55;4107
2021-03-06;38370;132;102;77,2727272727273;30;22,7272727272727;51;51;59;3055
2021-03-07;40220;204;167;81,8627450980392;37;18,1372549019608;58;105;61;3522
2021-03-08;64000;233;200;85,8369098712447;33;14,1630901287554;79;121;78;3926
2021-03-09;62608;190;169;88,9473684210526;21;11,0526315789474;62;106;63;3412
2021-03-10;57681;235;198;84,2553191489362;37;15,7446808510638;77;121;66;3841
2021-03-11;58835;170;148;87,0588235294118;22;12,9411764705882;51;97;43;3528
2021-03-12;60297;168;130;77,3809523809524;38;22,6190476190476;34;96;31;2975
2021-03-13;55761;151;119;78,8079470198676;32;21,1920529801325;56;60;64;3355
2021-03-14;72699;177;146;82,4858757062147;31;17,5141242937853;50;95;83;4151
2021-03-15;110475;262;226;86,2595419847328;36;13,7404580152672;107;114;105;5675
2021-03-16;116516;268;225;83,955223880597;43;16,044776119403;107;118;107;5322
2021-03-17;103337;197;155;78,6802030456853;42;21,3197969543147;83;66;105;5787
2021-03-18;124089;222;178;80,1801801801802;44;19,8198198198198;120;56;103;6218
2021-03-19;91580;148;125;84,4594594594595;23;15,5405405405405;77;45;71;4212
2021-03-20;57078;136;116;85,2941176470588;20;14,7058823529412;81;33;94;3628
2021-03-21;89618;207;174;84,0579710144928;33;15,9420289855072;120;53;126;5425
2021-03-22;133068;236;194;82,2033898305085;42;17,7966101694915;121;69;135;6694
2021-03-23;137978;200;174;87;26;13;113;59;135;6497
