Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden;1.534.634; 116.083;   6.943;   1.310
Sjælland; 639.042;  33.367;   2.402;     402
Syddanmark; 954.452;  35.099;   1.689;     218
Midtjylland;1.040.298;  42.229;   2.035;     351
Nordjylland; 489.623;  16.484;     873;     182
I alt i Danmark;4.658.049; 243.262;  13.942;   2.463
