"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
0-9;K;42913;14;297813;14.4;0.0
0-9;M;45867;12;314409;14.6;0.0
10-19;K;255712;214419;330111;77.5;65.0
10-19;M;266411;222470;346601;76.9;64.2
20-29;K;318210;306369;382973;83.1;80.0
20-29;M;323918;310471;399305;81.1;77.8
30-39;K;297207;286474;349852;85.0;81.9
30-39;M;297144;287094;363707;81.7;78.9
40-49;K;336921;332350;368152;91.5;90.3
40-49;M;328655;323676;368587;89.2;87.8
50-59;K;377050;374338;401065;94.0;93.3
50-59;M;378411;375354;404848;93.5;92.7
60-69;K;328162;326838;342069;95.9;95.5
60-69;M;318259;316855;331752;95.9;95.5
70-79;K;297183;296429;305379;97.3;97.1
70-79;M;268759;268081;275799;97.4;97.2
80-89;K;137239;136807;141308;97.1;96.8
80-89;M;102278;101994;104768;97.6;97.4
90+;K;30699;30513;32130;95.5;95.0
90+;M;13093;13036;13514;96.9;96.5
