"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
0-2;K;9;2;90646;0.0;0.0
0-2;M;1;0;95606;0.0;0.0
3-5;K;5265;1;91115;5.8;0.0
3-5;M;5748;3;96357;6.0;0.0
6-11;K;68706;713;179845;38.2;0.4
6-11;M;72672;747;189110;38.4;0.4
12-15;K;116613;108662;144418;80.7;75.2
12-15;M;122502;114143;152112;80.5;75.0
16-19;K;123250;120138;137118;89.9;87.6
16-19;M;125779;121807;142249;88.4;85.6
20-39;K;615154;592647;732562;84.0;80.9
20-39;M;619745;596372;761695;81.4;78.3
40-64;K;889182;881156;952461;93.4;92.5
40-64;M;880156;871315;954484;92.2;91.3
65-79;K;450203;448922;464273;97.0;96.7
65-79;M;413390;412191;425964;97.0;96.8
80+;K;152914;152310;158414;96.5;96.1
80+;M;102802;102465;105713;97.2;96.9
