"Regionsnavn";"Antal første vacc.";"Antal faerdigvacc.";"Antal 1. revacc.";"Vacc.dækning foerste vacc. (%)";"Vacc.dækning faerdigvacc. (%)";"Vacc.dækning 1. revacc. (%)";"Antal borgere"
Nordjylland;490031;466616;204639;82.8;78.8;34.6;591838
Midtjylland;1105810;1046429;502195;82.4;78.0;37.4;1342008
Syddanmark;1007708;955893;458778;82.0;77.8;37.3;1228360
Hovedstaden;1476069;1401548;672666;79.0;75.0;36.0;1868533
Sjælland;684473;653108;323562;81.2;77.4;38.4;843403
