"Første vacc. dato";"regionskode_current";"Regionsnavn";"Antal første vacc.";"regionskode_num"
2021-01-20;1085;Sjælland;221;1085
2021-01-21;1081;Nordjylland;17;1081
2021-01-21;1082;Midtjylland;1118;1082
2021-01-21;1083;Syddanmark;135;1083
2021-01-21;1084;Hovedstaden;31;1084
2021-01-21;1085;Sjælland;163;1085
2021-01-22;1081;Nordjylland;157;1081
2021-01-22;1082;Midtjylland;163;1082
2021-01-22;1083;Syddanmark;142;1083
2021-01-22;1084;Hovedstaden;54;1084
2021-01-22;1085;Sjælland;129;1085
2021-01-23;1081;Nordjylland;54;1081
2021-01-23;1082;Midtjylland;87;1082
2021-01-23;1083;Syddanmark;2;1083
2021-01-23;1084;Hovedstaden;513;1084
2021-01-23;1085;Sjælland;29;1085
2021-01-24;1081;Nordjylland;19;1081
2021-01-24;1082;Midtjylland;64;1082
2021-01-24;1083;Syddanmark;2;1083
2021-01-24;1084;Hovedstaden;458;1084
2021-01-24;1085;Sjælland;21;1085
2021-01-25;1081;Nordjylland;23;1081
2021-01-25;1082;Midtjylland;10;1082
2021-01-25;1083;Syddanmark;138;1083
2021-01-25;1084;Hovedstaden;51;1084
2021-01-25;1085;Sjælland;57;1085
2021-01-26;1081;Nordjylland;2;1081
2021-01-26;1082;Midtjylland;10;1082
2021-01-26;1083;Syddanmark;89;1083
2021-01-26;1084;Hovedstaden;19;1084
2021-01-26;1085;Sjælland;93;1085
2021-01-27;1081;Nordjylland;4;1081
2021-01-27;1082;Midtjylland;24;1082
2021-01-27;1083;Syddanmark;82;1083
2021-01-27;1084;Hovedstaden;17;1084
2021-01-27;1085;Sjælland;76;1085
2021-01-28;1081;Nordjylland;25;1081
2021-01-28;1082;Midtjylland;15;1082
2021-01-28;1083;Syddanmark;36;1083
2021-01-28;1084;Hovedstaden;23;1084
2021-01-28;1085;Sjælland;135;1085
2021-01-29;1081;Nordjylland;65;1081
2021-01-29;1082;Midtjylland;275;1082
2021-01-29;1083;Syddanmark;68;1083
2021-01-29;1084;Hovedstaden;392;1084
2021-01-29;1085;Sjælland;244;1085
2021-01-30;1081;Nordjylland;60;1081
2021-01-30;1082;Midtjylland;174;1082
2021-01-30;1083;Syddanmark;121;1083
2021-01-30;1084;Hovedstaden;388;1084
2021-01-30;1085;Sjælland;383;1085
2021-01-31;1081;Nordjylland;98;1081
2021-01-31;1082;Midtjylland;390;1082
2021-01-31;1083;Syddanmark;142;1083
2021-01-31;1084;Hovedstaden;304;1084
2021-01-31;1085;Sjælland;201;1085
2021-02-01;1081;Nordjylland;92;1081
2021-02-01;1082;Midtjylland;88;1082
2021-02-01;1083;Syddanmark;195;1083
2021-02-01;1084;Hovedstaden;64;1084
2021-02-01;1085;Sjælland;291;1085
2021-02-02;1081;Nordjylland;18;1081
2021-02-02;1082;Midtjylland;78;1082
2021-02-02;1083;Syddanmark;482;1083
2021-02-02;1084;Hovedstaden;59;1084
2021-02-02;1085;Sjælland;1247;1085
2021-02-03;1081;Nordjylland;5;1081
2021-02-03;1082;Midtjylland;24;1082
2021-02-03;1083;Syddanmark;404;1083
2021-02-03;1084;Hovedstaden;59;1084
2021-02-03;1085;Sjælland;920;1085
2021-02-04;1081;Nordjylland;815;1081
2021-02-04;1082;Midtjylland;46;1082
2021-02-04;1083;Syddanmark;329;1083
2021-02-04;1084;Hovedstaden;59;1084
2021-02-04;1085;Sjælland;87;1085
2021-02-05;1081;Nordjylland;746;1081
2021-02-05;1082;Midtjylland;287;1082
2021-02-05;1083;Syddanmark;212;1083
2021-02-05;1084;Hovedstaden;38;1084
2021-02-05;1085;Sjælland;238;1085
2021-02-06;1081;Nordjylland;350;1081
2021-02-06;1082;Midtjylland;18;1082
2021-02-06;1083;Syddanmark;66;1083
2021-02-06;1084;Hovedstaden;317;1084
2021-02-06;1085;Sjælland;212;1085
2021-02-07;1081;Nordjylland;678;1081
2021-02-07;1082;Midtjylland;17;1082
2021-02-07;1083;Syddanmark;96;1083
2021-02-07;1084;Hovedstaden;110;1084
2021-02-07;1085;Sjælland;867;1085
2021-02-08;1081;Nordjylland;546;1081
2021-02-08;1082;Midtjylland;219;1082
2021-02-08;1083;Syddanmark;544;1083
2021-02-08;1084;Hovedstaden;944;1084
2021-02-08;1085;Sjælland;126;1085
2021-02-09;1081;Nordjylland;71;1081
2021-02-09;1082;Midtjylland;507;1082
2021-02-09;1083;Syddanmark;835;1083
2021-02-09;1084;Hovedstaden;1464;1084
2021-02-09;1085;Sjælland;525;1085
2021-02-10;1081;Nordjylland;57;1081
2021-02-10;1082;Midtjylland;757;1082
2021-02-10;1083;Syddanmark;986;1083
2021-02-10;1084;Hovedstaden;519;1084
2021-02-10;1085;Sjælland;882;1085
2021-02-11;1081;Nordjylland;460;1081
2021-02-11;1082;Midtjylland;626;1082
2021-02-11;1083;Syddanmark;1212;1083
2021-02-11;1084;Hovedstaden;1566;1084
2021-02-11;1085;Sjælland;1751;1085
2021-02-12;1081;Nordjylland;1265;1081
2021-02-12;1082;Midtjylland;4518;1082
2021-02-12;1083;Syddanmark;1856;1083
2021-02-12;1084;Hovedstaden;1489;1084
2021-02-12;1085;Sjælland;2745;1085
2021-02-13;1081;Nordjylland;11;1081
2021-02-13;1082;Midtjylland;2584;1082
2021-02-13;1083;Syddanmark;1105;1083
2021-02-13;1084;Hovedstaden;67;1084
2021-02-13;1085;Sjælland;2593;1085
2021-02-14;1081;Nordjylland;253;1081
2021-02-14;1082;Midtjylland;1615;1082
2021-02-14;1083;Syddanmark;2113;1083
2021-02-14;1084;Hovedstaden;278;1084
2021-02-14;1085;Sjælland;1788;1085
2021-02-15;1081;Nordjylland;144;1081
2021-02-15;1082;Midtjylland;4246;1082
2021-02-15;1083;Syddanmark;2531;1083
2021-02-15;1084;Hovedstaden;3878;1084
2021-02-15;1085;Sjælland;2529;1085
2021-02-16;1081;Nordjylland;197;1081
2021-02-16;1082;Midtjylland;3620;1082
2021-02-16;1083;Syddanmark;1920;1083
2021-02-16;1084;Hovedstaden;4375;1084
2021-02-16;1085;Sjælland;2691;1085
2021-02-17;1081;Nordjylland;1246;1081
2021-02-17;1082;Midtjylland;2353;1082
2021-02-17;1083;Syddanmark;2239;1083
2021-02-17;1084;Hovedstaden;1108;1084
2021-02-17;1085;Sjælland;3170;1085
2021-02-18;1081;Nordjylland;1811;1081
2021-02-18;1082;Midtjylland;2156;1082
2021-02-18;1083;Syddanmark;1984;1083
2021-02-18;1084;Hovedstaden;3592;1084
2021-02-18;1085;Sjælland;1688;1085
2021-02-19;1081;Nordjylland;2061;1081
2021-02-19;1082;Midtjylland;3271;1082
2021-02-19;1083;Syddanmark;3215;1083
2021-02-19;1084;Hovedstaden;3499;1084
2021-02-19;1085;Sjælland;1513;1085
2021-02-20;1081;Nordjylland;2446;1081
2021-02-20;1082;Midtjylland;1083;1082
2021-02-20;1083;Syddanmark;2419;1083
2021-02-20;1084;Hovedstaden;2847;1084
2021-02-20;1085;Sjælland;1349;1085
2021-02-21;1081;Nordjylland;1677;1081
2021-02-21;1082;Midtjylland;1028;1082
2021-02-21;1083;Syddanmark;2836;1083
2021-02-21;1084;Hovedstaden;3126;1084
2021-02-21;1085;Sjælland;1796;1085
2021-02-22;1081;Nordjylland;798;1081
2021-02-22;1082;Midtjylland;3425;1082
2021-02-22;1083;Syddanmark;3650;1083
2021-02-22;1084;Hovedstaden;3563;1084
2021-02-22;1085;Sjælland;1757;1085
2021-02-23;1081;Nordjylland;401;1081
2021-02-23;1082;Midtjylland;5096;1082
2021-02-23;1083;Syddanmark;3123;1083
2021-02-23;1084;Hovedstaden;3564;1084
2021-02-23;1085;Sjælland;1888;1085
2021-02-24;1081;Nordjylland;594;1081
2021-02-24;1082;Midtjylland;3607;1082
2021-02-24;1083;Syddanmark;3074;1083
2021-02-24;1084;Hovedstaden;4260;1084
2021-02-24;1085;Sjælland;1872;1085
2021-02-25;1081;Nordjylland;1950;1081
2021-02-25;1082;Midtjylland;2103;1082
2021-02-25;1083;Syddanmark;2746;1083
2021-02-25;1084;Hovedstaden;6103;1084
2021-02-25;1085;Sjælland;1475;1085
2021-02-26;1081;Nordjylland;5288;1081
2021-02-26;1082;Midtjylland;8459;1082
2021-02-26;1083;Syddanmark;8621;1083
2021-02-26;1084;Hovedstaden;8855;1084
