"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
0-9;K;43215;26;298115;14.5;0.0
0-9;M;46247;21;314789;14.7;0.0
10-19;K;270628;229490;345027;78.4;66.5
10-19;M;280455;236679;360645;77.8;65.6
20-29;K;316774;304889;381537;83.0;79.9
20-29;M;322933;309519;398320;81.1;77.7
30-39;K;298380;287758;351025;85.0;82.0
30-39;M;296812;286853;363375;81.7;78.9
40-49;K;343571;339002;374802;91.7;90.4
40-49;M;335669;330707;375601;89.4;88.0
50-59;K;377584;374896;401599;94.0;93.4
50-59;M;378581;375560;405018;93.5;92.7
60-69;K;325568;324255;339475;95.9;95.5
60-69;M;316609;315217;330102;95.9;95.5
70-79;K;292662;291925;300858;97.3;97.0
70-79;M;262687;262022;269727;97.4;97.1
80-89;K;127676;127250;131745;96.9;96.6
80-89;M;92658;92370;95148;97.4;97.1
90+;K;25238;25060;26669;94.6;94.0
90+;M;10144;10095;10565;96.0;95.6
