"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
0-2;K;8;2;90645;0.0;0.0
0-2;M;1;0;95606;0.0;0.0
3-5;K;5177;1;91027;5.7;0.0
3-5;M;5658;3;96267;5.9;0.0
6-11;K;68311;687;179450;38.1;0.4
6-11;M;72221;713;188659;38.3;0.4
12-15;K;104678;96358;132483;79.0;72.7
12-15;M;110423;101675;140033;78.9;72.6
16-19;K;120451;117385;134319;89.7;87.4
16-19;M;123975;120091;140445;88.3;85.5
20-39;K;615417;592843;732825;84.0;80.9
20-39;M;621062;597565;763012;81.4;78.3
40-64;K;883010;874958;946289;93.3;92.5
40-64;M;873407;864511;947735;92.2;91.2
65-79;K;456306;454997;470376;97.0;96.7
65-79;M;420677;419455;433251;97.1;96.8
80+;K;167938;167320;173438;96.8;96.5
80+;M;115371;115030;118282;97.5;97.3
