"Kommunenavn";"Antal første vacc.";"Antal faerdigvacc.";"Antal 1. revacc.";"Vacc.dækning foerste vacc. (%)";"Vacc.dækning faerdigvacc. (%)";"Vacc.dækning 1. revacc. (%)";"Antal borgere"
København;499800;475394;184264;77.5;73.7;28.6;645032
Frederiksberg;85748;81722;40351;82.7;78.8;38.9;103704
Ballerup;38279;36419;18093;77.8;74.0;36.8;49207
Brøndby;25315;24119;11939;71.0;67.7;33.5;35649
Dragør;12033;11385;6789;82.3;77.9;46.4;14624
Gentofte;61224;57697;33997;82.5;77.7;45.8;74213
Gladsaxe;54383;51364;25295;78.5;74.1;36.5;69284
Glostrup;17966;17117;8532;76.5;72.9;36.3;23489
Herlev;22260;21069;10916;77.1;73.0;37.8;28865
Albertslund;20190;18972;9116;73.2;68.8;33.1;27579
Hvidovre;40691;38445;19031;76.4;72.2;35.7;53279
Høje Tåstrup;38822;36670;17157;73.4;69.3;32.4;52924
Lyngby-Taarbæk;47843;45061;24372;82.6;77.8;42.1;57895
Rødovre;31443;29841;15071;75.9;72.1;36.4;41403
Ishøj;15867;14977;7178;68.4;64.6;30.9;23201
Tårnby;33614;31791;16174;78.7;74.4;37.9;42731
Vallensbæk;12324;11578;5944;74.8;70.3;36.1;16481
Furesø;33580;31534;17717;81.1;76.2;42.8;41409
Allerød;21657;20427;11019;83.7;78.9;42.6;25879
Fredensborg;32911;31261;16801;79.9;75.9;40.8;41165
Helsingør;50959;48701;26668;80.9;77.3;42.4;62962
Hillerød;43366;41110;19730;81.5;77.2;37.1;53230
Hørsholm;20858;19933;12034;84.2;80.5;48.6;24764
Rudersdal;47736;45090;26340;83.3;78.7;46.0;57276
Egedal;36363;34478;18100;81.9;77.7;40.8;44379
Frederikssund;37978;36353;19829;83.0;79.4;43.3;45776
Greve;40073;38024;20200;78.8;74.8;39.7;50822
Køge;49595;47388;22489;80.3;76.7;36.4;61749
Halsnæs;25613;24605;13605;81.7;78.5;43.4;31343
Roskilde;73843;70249;36048;82.6;78.5;40.3;89434
Solrød;19134;18201;9347;80.5;76.6;39.3;23772
Gribskov;33641;32319;17150;81.8;78.6;41.7;41137
Odsherred;27327;26352;12962;83.1;80.2;39.4;32872
Holbæk;59702;56894;26881;82.0;78.1;36.9;72809
Faxe;29887;28633;13757;80.4;77.1;37.0;37153
Kalundborg;39234;37555;17659;81.0;77.6;36.5;48417
Ringsted;27687;26244;11203;78.9;74.8;31.9;35106
Slagelse;64004;60863;28763;80.3;76.4;36.1;79674
Stevns;19145;18319;8897;81.6;78.1;37.9;23470
Sorø;24753;23505;11288;82.5;78.4;37.6;29986
Lejre;23395;22216;11965;81.8;77.7;41.8;28601
Lolland;32435;31115;17607;80.8;77.6;43.9;40120
Næstved;68182;64929;31625;81.4;77.5;37.8;83752
Guldborgsund;49144;47119;24685;81.5;78.2;40.9;60282
Vordingborg;36933;35502;18186;81.4;78.2;40.1;45384
Bornholm;33605;32116;19454;84.7;81.0;49.1;39653
Middelfart;33407;31589;16955;84.4;79.8;42.8;39598
Assens;34354;32732;15227;83.8;79.8;37.1;41009
Faaborg-Midtfyn;43442;41193;19614;83.8;79.5;37.8;51843
Kerteminde;20186;19258;9957;84.0;80.1;41.4;24043
Nyborg;27023;25734;11619;84.2;80.2;36.2;32102
Odense;169335;161417;65193;82.2;78.3;31.6;206038
Svendborg;49788;47260;21613;84.1;79.9;36.5;59174
Nordfyn;24514;23393;11350;82.4;78.7;38.2;29736
Langeland;10431;10071;5271;84.7;81.8;42.8;12311
Ærø;5222;5031;3306;86.7;83.5;54.9;6023
Haderslev;44893;42708;20291;81.1;77.1;36.6;55377
Billund;21818;20654;10031;82.0;77.6;37.7;26622
Sønderborg;60543;57775;30491;82.2;78.4;41.4;73670
Tønder;29445;28155;11919;79.9;76.4;32.3;36853
Esbjerg;94226;89058;46037;81.6;77.2;39.9;115420
Fanø;2911;2822;1703;85.0;82.4;49.7;3424
Varde;40488;38397;20580;81.5;77.3;41.4;49683
Vejen;34404;32384;16823;80.7;75.9;39.4;42646
Aabenraa;46557;44408;21434;79.4;75.7;36.5;58670
Fredericia;42390;40040;20905;82.1;77.6;40.5;51602
Horsens;75691;71109;34136;80.2;75.3;36.2;94423
Kolding;75876;71277;34294;81.1;76.2;36.6;93579
Vejle;96455;90537;44165;81.1;76.1;37.1;118937
Herning;73715;69377;34117;82.6;77.7;38.2;89283
Holstebro;48644;45979;21589;83.1;78.5;36.9;58562
Lemvig;16368;15662;8475;84.3;80.7;43.7;19409
Struer;17604;16745;9047;84.7;80.5;43.5;20790
Syddjurs;36220;34536;17239;83.1;79.2;39.5;43593
Norddjurs;30801;29361;14661;83.3;79.4;39.7;36961
Favrskov;40651;38075;18611;83.2;77.9;38.1;48862
Odder;19588;18689;9905;84.1;80.3;42.5;23286
Randers;81207;77023;36041;82.1;77.9;36.4;98935
Silkeborg;79621;75151;37623;81.8;77.2;38.7;97293
Samsø;3231;3087;2158;86.7;82.8;57.9;3727
Skanderborg;52887;49618;25415;82.3;77.2;39.5;64276
Århus;291342;277069;117472;82.0;77.9;33.0;355448
Ikast-Brande;33850;31888;15736;80.8;76.1;37.6;41903
Ringkøbing-Skjern;46128;43811;22749;82.1;77.9;40.5;56218
Hedensted;38988;36869;18744;82.7;78.2;39.8;47125
Morsø;16724;16036;7533;83.4;80.0;37.6;20052
Skive;38285;36255;19156;85.0;80.5;42.5;45042
Thisted;35470;34006;14972;82.3;78.9;34.7;43105
Viborg;80989;76125;39321;83.6;78.6;40.6;96872
Brønderslev;29923;28185;12991;82.7;77.9;35.9;36170
Frederikshavn;49530;46996;21795;84.1;79.8;37.0;58868
Vesthimmerland;29451;28126;13155;81.0;77.4;36.2;36342
Læsø;1523;1454;943;86.0;82.1;53.3;1770
Rebild;24880;23588;10932;81.2;77.0;35.7;30645
Mariagerfjord;34433;33015;16320;82.7;79.3;39.2;41652
Jammerbugt;31629;30015;13201;82.9;78.7;34.6;38162
Aalborg;182809;174360;70671;82.6;78.8;31.9;221202
