"Regionsnavn","Antal første vacc.","Antal faerdigvacc.","Vacc.dækning foerste vacc. (%)","Vacc.dækning faerdigvacc. (%)","Antal borgere"
Nordjylland,110983,55616,18.8,9.4,590313
Midtjylland,234775,113338,17.6,8.5,1333630
Syddanmark,221536,109084,18.1,8.9,1224356
Hovedstaden,337301,150009,18.2,8.1,1856117
Sjælland,168537,76593,20.1,9.1,839909
