"Kommunenavn","Antal første vacc. personer","Antal faerdigvacc. personer","Antal borgere"
København,80612,35419,638724
Frederiksberg,18998,8433,103252
Ballerup,10045,4315,49091
Brøndby,7258,3318,35371
Dragør,3428,1468,14552
Gentofte,15554,7112,74323
Gladsaxe,12624,5995,69028
Glostrup,4907,2423,23488
Herlev,5843,2778,28803
Albertslund,5453,2376,27230
Hvidovre,10385,5139,53293
Høje-Taastrup,9950,4439,52185
Lyngby-Taarbæk,11226,5368,57037
Rødovre,7726,3644,41178
Ishøj,4114,1694,23065
Tårnby,8341,3787,42696
Vallensbæk,3535,1590,16556
Furesø,9008,4127,41019
Allerød,5436,2524,25879
Fredensborg,9243,3999,41021
Helsingør,14748,6259,63073
Hillerød,11013,5228,51790
Hørsholm,6582,2957,24823
Rudersdal,12714,6098,56995
Egedal,8523,3341,43777
Frederikssund,10956,4542,45641
Greve,9892,4211,50612
Køge,11114,5325,61558
Frederiksværk-Hundested,7753,3342,31453
Roskilde,16814,8038,88734
Solrød,4240,1912,23486
Gribskov,10024,4211,41032
Odsherred,8018,3199,32930
Holbæk,13994,6357,72078
Faxe,6753,3213,36800
Kalundborg,9989,4305,48442
Ringsted,5734,2654,34986
Slagelse,16415,7373,79333
Stevns,4672,2307,23240
Sorø,6298,2874,29944
Lejre,5633,2584,28444
Lolland,8984,3930,40374
Næstved,16184,7856,83327
Guldborgsund,13819,6228,60384
Vordingborg,9984,4227,45237
Bornholm,11302,4083,39742
Middelfart,7786,4041,39299
Assens,7598,3538,40907
Faaborg-Midtfyn,10121,4621,51672
Kerteminde,4895,2348,23844
Nyborg,6462,3024,31991
Odense,35145,16456,204931
Svendborg,12222,6459,58846
Nordfyns,5562,2513,29540
Langeland,2876,1499,12346
Ærø,1475,766,6010
Haderslev,8752,4590,55398
Billund,4520,2182,26512
Sønderborg,12727,7301,73789
Tønder,5801,3183,37044
Esbjerg,23493,10508,115605
Fanø,875,344,3439
Varde,10062,4679,49694
Vejen,7549,3955,42791
Aabenraa,9337,4626,58581
Fredericia,9142,4886,51373
Horsens,14678,7037,92682
Kolding,14828,7764,93113
Vejle,20308,9801,117631
Herning,15942,8080,89330
Holstebro,11092,5378,58658
Lemvig,4019,2140,19542
Struer,4394,2196,20830
Syddjurs,8481,3953,43395
Norddjurs,7692,3897,36958
Favrskov,8363,3826,48505
Odder,4601,2265,23050
Randers,18164,8767,98354
Silkeborg,17407,8473,96008
Samsø,776,620,3701
Skanderborg,10797,4896,63532
Århus,54090,24288,352316
Ikast-Brande,7253,3556,41599
Ringkøbing-Skjern,10307,5586,56202
Hedensted,7855,4080,46895
Morsø,4144,2277,20080
Skive,9559,4786,45385
Thisted,8569,4008,43143
Viborg,19305,9514,96688
Brønderslev-Dronninglund,6500,3244,36123
Frederikshavn,12481,5945,58948
Vesthimmerlands,7860,3477,36365
Læsø,698,386,1780
Rebild,5048,2674,30496
Mariagerfjord,8643,4072,41580
Jammerbugt,6701,3462,38198
Ålborg,37825,19036,219527
Hjørring,12514,7035,64073
