"Regionsnavn","Aldersgruppe","sex","Antal første vacc.","Antal faerdigvacc."
Hovedstaden,0-9,K,2,1
Hovedstaden,0-9,M,0,0
Hovedstaden,10-19,K,623,260
Hovedstaden,10-19,M,362,199
Hovedstaden,20-29,K,12170,4746
Hovedstaden,20-29,M,4952,2056
Hovedstaden,30-39,K,13265,6473
Hovedstaden,30-39,M,6439,3474
Hovedstaden,40-49,K,18886,9422
Hovedstaden,40-49,M,7728,4378
Hovedstaden,50-59,K,22229,11763
Hovedstaden,50-59,M,10721,6704
Hovedstaden,60-69,K,24087,12784
Hovedstaden,60-69,M,17773,9304
Hovedstaden,70-79,K,67911,13194
Hovedstaden,70-79,M,57420,11734
Hovedstaden,80-89,K,36326,25492
Hovedstaden,80-89,M,24450,16702
Hovedstaden,90+,K,8727,8264
Hovedstaden,90+,M,3230,3059
Midtjylland,0-9,K,0,0
Midtjylland,0-9,M,0,0
Midtjylland,10-19,K,745,371
Midtjylland,10-19,M,303,189
Midtjylland,20-29,K,9887,3917
Midtjylland,20-29,M,3528,1632
Midtjylland,30-39,K,10556,5065
Midtjylland,30-39,M,3900,2014
Midtjylland,40-49,K,14913,7131
Midtjylland,40-49,M,4900,2440
Midtjylland,50-59,K,18004,8668
Midtjylland,50-59,M,6174,3066
Midtjylland,60-69,K,15629,10055
Midtjylland,60-69,M,9406,6596
Midtjylland,70-79,K,39914,9824
Midtjylland,70-79,M,38027,10271
Midtjylland,80-89,K,28039,18909
Midtjylland,80-89,M,21395,14006
Midtjylland,90+,K,6551,6356
Midtjylland,90+,M,2904,2828
Nordjylland,0-9,K,1,0
Nordjylland,0-9,M,0,0
Nordjylland,10-19,K,292,140
Nordjylland,10-19,M,116,85
Nordjylland,20-29,K,4043,1747
Nordjylland,20-29,M,1524,910
Nordjylland,30-39,K,4801,2178
Nordjylland,30-39,M,1672,944
Nordjylland,40-49,K,6746,3124
Nordjylland,40-49,M,2246,1221
Nordjylland,50-59,K,8948,4498
Nordjylland,50-59,M,2964,1823
Nordjylland,60-69,K,6587,4239
Nordjylland,60-69,M,3689,2757
Nordjylland,70-79,K,19125,3656
Nordjylland,70-79,M,18118,3707
Nordjylland,80-89,K,14186,11184
Nordjylland,80-89,M,11035,8641
Nordjylland,90+,K,3339,3249
Nordjylland,90+,M,1551,1513
Sjælland,0-9,K,0,0
Sjælland,0-9,M,1,1
Sjælland,10-19,K,373,135
Sjælland,10-19,M,189,97
Sjælland,20-29,K,3878,1450
Sjælland,20-29,M,1592,755
Sjælland,30-39,K,6069,2462
Sjælland,30-39,M,2165,1015
Sjælland,40-49,K,10045,4318
Sjælland,40-49,M,3293,1649
Sjælland,50-59,K,12630,5593
Sjælland,50-59,M,4793,2699
Sjælland,60-69,K,10771,6370
Sjælland,60-69,M,7516,5170
Sjælland,70-79,K,33272,7478
Sjælland,70-79,M,31594,8054
Sjælland,80-89,K,19338,13378
Sjælland,80-89,M,14955,10209
Sjælland,90+,K,4247,4028
Sjælland,90+,M,1816,1732
Syddanmark,0-9,K,1,0
Syddanmark,0-9,M,0,0
Syddanmark,10-19,K,616,267
Syddanmark,10-19,M,287,157
Syddanmark,20-29,K,7294,2803
Syddanmark,20-29,M,2841,1417
Syddanmark,30-39,K,9123,4372
Syddanmark,30-39,M,3624,2009
Syddanmark,40-49,K,13832,6712
Syddanmark,40-49,M,4915,2947
Syddanmark,50-59,K,17150,8844
Syddanmark,50-59,M,6882,4398
Syddanmark,60-69,K,13389,8807
Syddanmark,60-69,M,8738,6627
Syddanmark,70-79,K,36176,8931
Syddanmark,70-79,M,34557,9171
Syddanmark,80-89,K,29621,18527
Syddanmark,80-89,M,22468,13411
Syddanmark,90+,K,7013,6766
Syddanmark,90+,M,3009,2918
