Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;     165 (52);     152 (48);     317
10-19;     316 (55);     263 (45);     579
20-29;   1.053 (62);     647 (38);   1.700
30-39;   1.057 (61);     687 (39);   1.744
40-49;   1.265 (60);     838 (40);   2.103
50-59;   1.310 (60);     877 (40);   2.187
60-69;     695 (50);     698 (50);   1.393
70-79;     462 (45);     554 (55);   1.016
80-89;     459 (57);     346 (43);     805
90+;     184 (72);      71 (28);     255
I alt;   6.966 (58);   5.133 (42);  12.099
