Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;     136 (50);     134 (50);     270
10-19;     285 (55);     230 (45);     515
20-29;     979 (62);     598 (38);   1.577
30-39;   1.003 (61);     638 (39);   1.641
40-49;   1.212 (60);     807 (40);   2.019
50-59;   1.249 (60);     842 (40);   2.091
60-69;     658 (50);     669 (50);   1.327
70-79;     439 (45);     527 (55);     966
80-89;     443 (57);     332 (43);     775
90+;     179 (72);      68 (28);     247
I alt;   6.583 (58);   4.845 (42);  11.428
