Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;   8.383 (48);   9.017 (52);  17.400
10-19;  18.029 (49);  18.893 (51);  36.922
20-29;  22.844 (51);  21.888 (49);  44.732
30-39;  16.877 (51);  16.194 (49);  33.071
40-49;  18.600 (53);  16.434 (47);  35.034
50-59;  17.506 (51);  16.573 (49);  34.079
60-69;   9.015 (49);   9.503 (51);  18.518
70-79;   5.618 (49);   5.763 (51);  11.381
80-89;   3.402 (58);   2.493 (42);   5.895
90+;   1.295 (70);     542 (30);   1.837
I alt; 121.569 (51); 117.300 (49); 238.869
