"Kommunenavn","Antal første vacc. personer","Antal faerdigvacc. personer","Antal borgere"
København,51425,22265,638843
Frederiksberg,10747,5337,103353
Ballerup,5300,2539,49095
Brøndby,3952,1922,35398
Dragør,1692,885,14569
Gentofte,8412,4355,74370
Gladsaxe,7704,3803,69192
Glostrup,2971,1688,23468
Herlev,3502,1722,28830
Albertslund,2806,1620,27222
Hvidovre,6207,3271,53299
Høje-Taastrup,5258,2971,52179
Lyngby-Taarbæk,6479,3575,56883
Rødovre,4625,2185,41225
Ishøj,2094,1108,23078
Tårnby,4662,2301,42687
Vallensbæk,1843,1012,16566
Furesø,4917,2621,40938
Allerød,3097,1570,25845
Fredensborg,4873,2480,41048
Helsingør,7779,3972,63013
Hillerød,6794,3335,51726
Hørsholm,3311,1848,24825
Rudersdal,7101,3649,57003
Egedal,4265,2061,43709
Frederikssund,5630,2833,45557
Greve,4941,2521,50527
Køge,6270,3384,61513
Frederiksværk-Hundested,4170,1834,31419
Roskilde,9859,5101,88765
Solrød,2244,1197,23473
Gribskov,5343,2461,40985
Odsherred,4003,2004,32905
Holbæk,8001,4195,71979
Faxe,3749,2043,36749
Kalundborg,4978,2594,48425
Ringsted,3254,1766,34962
Slagelse,8913,4589,79248
Stevns,2629,1290,23198
Sorø,3492,1664,29985
Lejre,3159,1587,28295
Lolland,4605,2537,40409
Næstved,9230,5305,83274
Guldborgsund,7567,3971,60325
Vordingborg,5048,2668,45224
Bornholm,5115,2408,39730
Middelfart,5085,2448,39260
Assens,4528,1841,40850
Faaborg-Midtfyn,5900,2528,51635
Kerteminde,2835,1237,23825
Nyborg,3843,1456,31952
Odense,22427,9778,205072
Svendborg,7967,4089,58803
Nordfyns,3247,1285,29536
Langeland,1781,785,12358
Ærø,952,544,5990
Haderslev,5801,2425,55325
Billund,2605,1362,26505
Sønderborg,8323,3232,73793
Tønder,3903,1757,37024
Esbjerg,13775,6635,115534
Fanø,415,206,3448
Varde,5825,2972,49663
Vejen,4822,2535,42785
Aabenraa,5712,2278,58581
Fredericia,6091,2922,51379
Horsens,9440,4304,92581
Kolding,9515,4734,93095
Vejle,12464,5918,117497
Herning,9899,5395,89273
Holstebro,6786,3522,58696
Lemvig,2326,1281,19560
Struer,2526,1380,20824
Syddjurs,4884,2510,43265
Norddjurs,4487,2568,36985
Favrskov,4818,2502,48478
Odder,2843,1492,23012
Randers,11124,5588,98311
Silkeborg,10302,5328,95921
Samsø,696,457,3679
Skanderborg,6431,2886,63461
Århus,34052,15864,352454
Ikast-Brande,4120,2036,41542
Ringkøbing-Skjern,6155,3409,56146
Hedensted,5032,2508,46834
Morsø,2772,1621,20076
Skive,5191,2869,45421
Thisted,5098,2350,43103
Viborg,11055,6163,96657
Brønderslev-Dronninglund,4223,2221,36139
Frederikshavn,6796,3480,58968
Vesthimmerlands,4532,2361,36347
Læsø,401,181,1773
Rebild,3144,1619,30494
Mariagerfjord,5019,2279,41586
Jammerbugt,4020,2067,38163
Ålborg,23882,11778,219648
Hjørring,7974,4227,64121
