"Vaccinenavn","Regionsnavn","Antal første vacc.","Antal faerdigvacc."
AstraZeneca Covid-19 vaccine,Nordjylland,16864,0
AstraZeneca Covid-19 vaccine,Midtjylland,33541,0
AstraZeneca Covid-19 vaccine,Syddanmark,30426,246
AstraZeneca Covid-19 vaccine,Hovedstaden,45094,6
AstraZeneca Covid-19 vaccine,Sjælland,23860,331
Moderna Covid-19 Vaccine,Nordjylland,4314,3134
Moderna Covid-19 Vaccine,Midtjylland,7916,1819
Moderna Covid-19 Vaccine,Syddanmark,8423,4137
Moderna Covid-19 Vaccine,Hovedstaden,11028,2104
Moderna Covid-19 Vaccine,Sjælland,4908,1064
Pfizer BioNTech Covid-19 vacc,Nordjylland,46683,31050
Pfizer BioNTech Covid-19 vacc,Midtjylland,100710,70243
Pfizer BioNTech Covid-19 vacc,Syddanmark,98967,58584
Pfizer BioNTech Covid-19 vacc,Hovedstaden,135952,91521
Pfizer BioNTech Covid-19 vacc,Sjælland,63174,47021
