"Regionsnavn","Aldersgruppe","sex","Antal første vacc.","Antal faerdigvacc."
Hovedstaden,0-9,K,1,0
Hovedstaden,0-9,M,0,0
Hovedstaden,10-19,K,596,152
Hovedstaden,10-19,M,305,82
Hovedstaden,20-29,K,11673,3885
Hovedstaden,20-29,M,4460,1340
Hovedstaden,30-39,K,12596,5459
Hovedstaden,30-39,M,5801,2445
Hovedstaden,40-49,K,17916,7719
Hovedstaden,40-49,M,6778,2718
Hovedstaden,50-59,K,20704,9124
Hovedstaden,50-59,M,9015,3774
Hovedstaden,60-69,K,16197,7656
Hovedstaden,60-69,M,10257,4794
Hovedstaden,70-79,K,12800,6043
Hovedstaden,70-79,M,11355,5661
Hovedstaden,80-89,K,24449,14437
Hovedstaden,80-89,M,15792,8873
Hovedstaden,90+,K,8299,6940
Hovedstaden,90+,M,3080,2529
Midtjylland,0-9,K,0,0
Midtjylland,0-9,M,0,0
Midtjylland,10-19,K,687,220
Midtjylland,10-19,M,205,57
Midtjylland,20-29,K,9004,2801
Midtjylland,20-29,M,2662,699
Midtjylland,30-39,K,9657,3930
Midtjylland,30-39,M,2944,1115
Midtjylland,40-49,K,13504,5508
Midtjylland,40-49,M,3590,1292
Midtjylland,50-59,K,15536,6681
Midtjylland,50-59,M,4123,1529
Midtjylland,60-69,K,12680,5807
Midtjylland,60-69,M,7083,2893
Midtjylland,70-79,K,9652,4055
Midtjylland,70-79,M,10180,3988
Midtjylland,80-89,K,18020,13718
Midtjylland,80-89,M,13322,9388
Midtjylland,90+,K,6466,5841
Midtjylland,90+,M,2852,2540
Nordjylland,0-9,K,1,0
Nordjylland,0-9,M,0,0
Nordjylland,10-19,K,291,100
Nordjylland,10-19,M,94,28
Nordjylland,20-29,K,3855,1227
Nordjylland,20-29,M,1330,399
Nordjylland,30-39,K,4597,1565
Nordjylland,30-39,M,1485,431
Nordjylland,40-49,K,6460,2270
Nordjylland,40-49,M,1950,546
Nordjylland,50-59,K,8493,3226
Nordjylland,50-59,M,2605,738
Nordjylland,60-69,K,5905,2298
Nordjylland,60-69,M,3093,1128
Nordjylland,70-79,K,3399,1992
Nordjylland,70-79,M,3438,1863
Nordjylland,80-89,K,9166,6974
Nordjylland,80-89,M,6899,4879
Nordjylland,90+,K,3283,3116
Nordjylland,90+,M,1517,1404
Sjælland,0-9,K,0,0
Sjælland,0-9,M,1,0
Sjælland,10-19,K,344,90
Sjælland,10-19,M,146,57
Sjælland,20-29,K,3544,1120
Sjælland,20-29,M,1240,405
Sjælland,30-39,K,5600,1982
Sjælland,30-39,M,1743,624
Sjælland,40-49,K,9221,3568
Sjælland,40-49,M,2628,931
Sjælland,50-59,K,11290,4295
Sjælland,50-59,M,3593,1343
Sjælland,60-69,K,8463,4029
Sjælland,60-69,M,5161,2635
Sjælland,70-79,K,6257,3552
Sjælland,70-79,M,6824,3733
Sjælland,80-89,K,11614,8807
Sjælland,80-89,M,8620,6116
Sjælland,90+,K,3974,3612
Sjælland,90+,M,1679,1517
Syddanmark,0-9,K,0,0
Syddanmark,0-9,M,0,0
Syddanmark,10-19,K,566,150
Syddanmark,10-19,M,208,47
Syddanmark,20-29,K,6787,1884
Syddanmark,20-29,M,2313,560
Syddanmark,30-39,K,8556,3222
Syddanmark,30-39,M,2981,987
Syddanmark,40-49,K,12961,4731
Syddanmark,40-49,M,4082,1278
Syddanmark,50-59,K,15875,5835
Syddanmark,50-59,M,5572,1491
Syddanmark,60-69,K,11578,4473
Syddanmark,60-69,M,7113,2321
Syddanmark,70-79,K,8750,3868
Syddanmark,70-79,M,8991,3664
Syddanmark,80-89,K,18420,12151
Syddanmark,80-89,M,13261,8242
Syddanmark,90+,K,6876,5702
Syddanmark,90+,M,2926,2361
