"Vaccinenavn","Regionsnavn","Antal første vacc.","Antal faerdigvacc."
AstraZeneca Covid-19 vaccine,Nordjylland,10403,0
AstraZeneca Covid-19 vaccine,Midtjylland,20252,0
AstraZeneca Covid-19 vaccine,Syddanmark,19962,0
AstraZeneca Covid-19 vaccine,Hovedstaden,20960,0
AstraZeneca Covid-19 vaccine,Sjælland,16072,0
Moderna Covid-19 Vaccine,Nordjylland,3281,1
Moderna Covid-19 Vaccine,Midtjylland,2837,225
Moderna Covid-19 Vaccine,Syddanmark,5014,2347
Moderna Covid-19 Vaccine,Hovedstaden,2190,6
Moderna Covid-19 Vaccine,Sjælland,1228,3
Pfizer BioNTech Covid-19 vacc,Nordjylland,35879,19197
Pfizer BioNTech Covid-19 vacc,Midtjylland,78261,41239
Pfizer BioNTech Covid-19 vacc,Syddanmark,72987,37574
Pfizer BioNTech Covid-19 vacc,Hovedstaden,109353,59979
Pfizer BioNTech Covid-19 vacc,Sjælland,51044,25106
