"Regionsnavn","Antal første vacc. personer","Antal faerdigvacc. personer","Antal borgere"
Nordjylland,49563,19198,590402
Midtjylland,101350,41464,1332668
Syddanmark,97963,39921,1223710
Hovedstaden,132503,59985,1855542
Sjælland,68344,25109,839034
