"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
0-2;K;8;2;90408;0.0;0.0
0-2;M;1;0;95350;0.0;0.0
3-5;K;3;1;91087;0.0;0.0
3-5;M;4;2;96261;0.0;0.0
6-11;K;19;8;179599;0.0;0.0
6-11;M;21;10;188974;0.0;0.0
12-15;K;102627;96469;141927;72.3;68.0
12-15;M;108085;101617;149399;72.3;68.0
16-19;K;119208;116971;136920;87.1;85.4
16-19;M;121261;118006;142204;85.3;83.0
20-39;K;583196;563878;731621;79.7;77.1
20-39;M;590357;570859;760034;77.7;75.1
40-64;K;879166;872024;952227;92.3;91.6
40-64;M;868952;861872;954236;91.1;90.3
65-79;K;449862;448895;465234;96.7;96.5
65-79;M;413338;412482;427325;96.7;96.5
80+;K;154348;153826;160407;96.2;95.9
80+;M;104023;103776;107288;97.0;96.7
