"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
0-9;K;15;3;297584;0.0;0.0
0-9;M;13;3;314120;0.0;0.0
10-19;K;209895;201666;330403;63.5;61.0
10-19;M;218030;208543;346739;62.9;60.1
20-29;K;301680;291898;382795;78.8;76.3
20-29;M;307958;296424;398870;77.2;74.3
30-39;K;281514;271898;348824;80.7;77.9
30-39;M;283492;275385;362257;78.3;76.0
40-49;K;331949;327864;369011;90.0;88.8
40-49;M;323051;318939;369358;87.5;86.3
50-59;K;373666;371250;400806;93.2;92.6
50-59;M;374552;372167;404598;92.6;92.0
60-69;K;326309;325166;341615;95.5;95.2
60-69;M;316506;315464;331596;95.4;95.1
70-79;K;296203;295659;305128;97.1;96.9
70-79;M;267631;267148;275459;97.2;97.0
80-89;K;136459;136111;140960;96.8;96.6
80-89;M;101726;101526;104533;97.3;97.1
90+;K;30747;30559;32304;95.2;94.6
90+;M;13083;13025;13541;96.6;96.2
