"Kommunenavn";"Antal første vacc.";"Antal faerdigvacc.";"Antal 1. revacc.";"Vacc.dækning foerste vacc. (%)";"Vacc.dækning faerdigvacc. (%)";"Vacc.dækning 1. revacc. (%)";"Antal borgere"
København;473046;461928;32468;73.4;71.7;5.0;644454
Frederiksberg;81333;79878;6975;78.3;76.9;6.7;103828
Ballerup;36313;35656;3448;73.9;72.5;7.0;49170
Brøndby;24091;23500;2443;67.8;66.1;6.9;35539
Dragør;11311;11130;1153;77.4;76.2;7.9;14614
Gentofte;57327;56396;5653;77.2;76.0;7.6;74222
Gladsaxe;51228;50332;4720;74.0;72.7;6.8;69219
Glostrup;17091;16766;1980;72.8;71.4;8.4;23476
Herlev;21031;20616;2172;72.9;71.4;7.5;28861
Albertslund;18979;18425;1814;69.0;67.0;6.6;27494
Hvidovre;38390;37606;3465;72.1;70.6;6.5;53272
Høje Tåstrup;36392;35564;3528;68.9;67.4;6.7;52791
Lyngby-Taarbæk;44736;44037;4237;77.3;76.1;7.3;57843
Rødovre;29616;29054;2750;71.8;70.4;6.7;41266
Ishøj;14941;14489;1278;64.5;62.6;5.5;23158
Tårnby;31663;31105;2687;74.2;72.9;6.3;42664
Vallensbæk;11591;11328;1284;70.2;68.6;7.8;16516
Furesø;31391;30962;3400;75.9;74.8;8.2;41366
Allerød;20322;20112;1998;78.5;77.7;7.7;25878
Fredensborg;31125;30649;2945;75.7;74.5;7.2;41118
Helsingør;48437;47626;4394;76.9;75.6;7.0;63024
Hillerød;40816;40213;4096;76.9;75.8;7.7;53063
Hørsholm;19820;19578;2264;80.0;79.0;9.1;24778
Rudersdal;44836;44215;4679;78.3;77.2;8.2;57289
Egedal;34261;33767;2747;77.3;76.2;6.2;44328
Frederikssund;36198;35650;3472;79.1;77.9;7.6;45741
Greve;37715;37105;3194;74.3;73.1;6.3;50748
Køge;47008;46295;4496;76.2;75.0;7.3;61711
Halsnæs;24531;24172;2544;78.2;77.1;8.1;31353
Roskilde;69722;68745;7061;78.0;76.9;7.9;89377
Solrød;17966;17710;1592;75.9;74.8;6.7;23676
Gribskov;32135;31670;3139;78.2;77.1;7.6;41074
Odsherred;26204;25873;2390;79.6;78.6;7.3;32905
Holbæk;56468;55584;5581;77.6;76.4;7.7;72743
Faxe;28286;27885;2236;76.4;75.3;6.0;37043
Kalundborg;37294;36755;3074;77.0;75.9;6.3;48423
Ringsted;26015;25642;1807;74.1;73.0;5.1;35119
Slagelse;60421;59444;5931;75.9;74.6;7.4;79635
Stevns;18177;17963;1561;77.6;76.7;6.7;23418
Sorø;23331;23015;2036;77.8;76.7;6.8;29993
Lejre;22030;21736;2103;77.0;76.0;7.4;28603
Lolland;30908;30452;3015;76.9;75.8;7.5;40179
Næstved;64330;63366;6302;76.9;75.7;7.5;83672
Guldborgsund;46803;46106;4858;77.6;76.5;8.1;60291
Vordingborg;35296;34784;2811;77.8;76.6;6.2;45388
Bornholm;32001;31559;3193;80.6;79.5;8.0;39699
Middelfart;31358;30985;3307;79.3;78.4;8.4;39541
Assens;32556;32117;2546;79.5;78.5;6.2;40933
Faaborg-Midtfyn;40901;40349;3600;78.9;77.9;6.9;51829
Kerteminde;19142;18911;1514;79.8;78.8;6.3;23998
Nyborg;25546;25245;1879;79.7;78.7;5.9;32072
Odense;160337;157744;14279;77.8;76.5;6.9;206118
Svendborg;46872;46213;5139;79.2;78.1;8.7;59147
Nordfyn;23217;22884;1953;78.1;77.0;6.6;29711
Langeland;10033;9917;970;81.4;80.4;7.9;12328
Ærø;5017;4968;326;83.3;82.5;5.4;6023
Haderslev;42272;41616;3332;76.4;75.2;6.0;55345
Billund;20470;20147;1576;76.9;75.7;5.9;26616
Sønderborg;57445;56640;5407;78.0;76.9;7.3;73638
Tønder;27965;27555;2210;75.9;74.8;6.0;36859
Esbjerg;88686;87325;7765;76.8;75.6;6.7;115489
Fanø;2806;2781;262;81.8;81.1;7.6;3430
Varde;38071;37572;3174;76.7;75.7;6.4;49654
Vejen;32026;31521;2827;75.0;73.9;6.6;42677
Aabenraa;43928;43253;3647;75.0;73.8;6.2;58606
Fredericia;39670;39120;3976;77.0;75.9;7.7;51547
Horsens;70378;69181;6325;74.8;73.5;6.7;94146
Kolding;70562;69335;6301;75.5;74.2;6.7;93441
Vejle;89763;88152;8040;75.7;74.3;6.8;118582
Herning;68858;67732;6980;77.2;75.9;7.8;89213
Holstebro;45464;44802;4171;77.7;76.5;7.1;58544
Lemvig;15528;15357;1394;80.1;79.3;7.2;19377
Struer;16599;16368;1584;79.9;78.8;7.6;20779
Syddjurs;34442;34050;2774;78.9;78.0;6.4;43638
Norddjurs;29285;28924;2763;79.2;78.2;7.5;36990
Favrskov;37752;37279;2862;77.4;76.4;5.9;48794
Odder;18581;18373;1969;79.9;79.0;8.5;23260
Randers;76497;75279;7648;77.4;76.2;7.7;98849
Silkeborg;74430;73315;6721;76.6;75.5;6.9;97111
Samsø;3071;3049;181;82.3;81.7;4.9;3731
Skanderborg;49158;48571;3928;76.6;75.7;6.1;64159
Århus;275532;270690;23535;77.5;76.2;6.6;355353
Ikast-Brande;31571;31077;2884;75.3;74.2;6.9;41901
Ringkøbing-Skjern;43439;42826;3895;77.3;76.2;6.9;56191
Hedensted;36473;35969;3244;77.5;76.4;6.9;47062
Morsø;15923;15702;1605;79.3;78.2;8.0;20078
Skive;36045;35548;3398;80.0;78.9;7.5;45071
Thisted;33834;33333;3178;78.5;77.3;7.4;43118
Viborg;75479;74469;7006;78.0;76.9;7.2;96822
Brønderslev;28082;27606;2641;77.6;76.3;7.3;36169
Frederikshavn;46892;46300;2895;79.6;78.6;4.9;58892
Vesthimmerland;27985;27608;2237;77.0;76.0;6.2;36341
Læsø;1463;1448;153;82.4;81.5;8.6;1776
Rebild;23309;22998;1627;76.2;75.1;5.3;30606
Mariagerfjord;32847;32383;2865;78.9;77.8;6.9;41627
Jammerbugt;29844;29383;2536;78.2;77.0;6.6;38183
Aalborg;173468;170363;15448;78.4;77.0;7.0;221231
Hjørring;50681;49922;5148;79.3;78.1;8.1;63883
