"Regionsnavn";"Antal første vacc. personer";"Antal faerdigvacc. personer";"Antal borgere"
Nordjylland;464328;457046;591904
Midtjylland;1038582;1022859;1340991
Syddanmark;948643;934350;1227584
Hovedstaden;1394952;1367983;1867098
Sjælland;647974;638460;842924
