"Regionsnavn";"Antal første vacc.";"Antal faerdigvacc.";"Antal 1. revacc.";"Vacc.dækning foerste vacc. (%)";"Vacc.dækning faerdigvacc. (%)";"Vacc.dækning 1. revacc. (%)";"Antal borgere"
Nordjylland;464328;457046;40333;78.4;77.2;6.8;591904
Midtjylland;1038582;1022859;93262;77.4;76.3;7.0;1340991
Syddanmark;948643;934350;84030;77.3;76.1;6.8;1227584
Hovedstaden;1394952;1367983;120926;74.7;73.3;6.5;1867098
Sjælland;647974;638460;60048;76.9;75.7;7.1;842924
