"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
0-9;K;18;4;297587;0.0;0.0
0-9;M;13;3;314120;0.0;0.0
10-19;K;221847;213447;342355;64.8;62.3
10-19;M;229359;219632;358068;64.1;61.3
20-29;K;300164;290346;381279;78.7;76.2
20-29;M;306830;295346;397742;77.1;74.3
30-39;K;283032;273532;350342;80.8;78.1
30-39;M;283527;275513;362292;78.3;76.0
40-49;K;337516;333450;374578;90.1;89.0
40-49;M;328947;324866;375254;87.7;86.6
50-59;K;374417;372019;401557;93.2;92.6
50-59;M;374946;372598;404992;92.6;92.0
60-69;K;324399;323280;339705;95.5;95.2
60-69;M;315402;314374;330492;95.4;95.1
70-79;K;292696;292170;301621;97.0;96.9
70-79;M;262995;262516;270823;97.1;96.9
80-89;K;128466;128118;132967;96.6;96.4
80-89;M;93535;93338;96342;97.1;96.9
90+;K;25882;25708;27439;94.3;93.7
90+;M;10488;10438;10946;95.8;95.4
