"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
0-2;K;7;2;90407;0.0;0.0
0-2;M;1;0;95350;0.0;0.0
3-5;K;4;1;91088;0.0;0.0
3-5;M;4;2;96261;0.0;0.0
6-11;K;15;5;179595;0.0;0.0
6-11;M;16;6;188969;0.0;0.0
12-15;K;93308;87241;132608;70.4;65.8
12-15;M;98614;92268;139928;70.5;65.9
16-19;K;116576;114420;134288;86.8;85.2
16-19;M;119408;116270;140351;85.1;82.8
20-39;K;583194;563796;731619;79.7;77.1
20-39;M;591450;571809;761127;77.7;75.1
40-64;K;873538;866342;946599;92.3;91.5
40-64;M;862774;855621;948058;91.0;90.2
65-79;K;454589;453597;469961;96.7;96.5
65-79;M;418966;418097;432953;96.8;96.6
80+;K;167206;166670;173265;96.5;96.2
80+;M;114809;114551;118074;97.2;97.0
