"dato";"Regionsnavn";"sex";"Paabegyndt vacc. idag";"Faerdigvacc. idag";"Revacc. 1 idag";"Paabegyndt vacc. igaar";"Faerdigvacc. igaar";"Revacc. 1 igaar";"Paabegyndt vacc. difference";"Faerdigvaccineret difference";"Revacc. 1 difference"
2021-11-09;Hovedstaden;K;720075;706380;72521;719721;706221;70832;354;159;1689
2021-11-09;Hovedstaden;M;674877;661603;48405;674583;661511;47386;294;92;1019
2021-11-09;Midtjylland;K;525429;517919;57155;525130;517778;54589;299;141;2566
2021-11-09;Midtjylland;M;513153;504940;36107;512841;504815;34702;312;125;1405
2021-11-09;Nordjylland;K;232661;229238;25188;232634;229238;24835;27;0;353
2021-11-09;Nordjylland;M;231667;227808;15145;231644;227799;14956;23;9;189
2021-11-09;Sjælland;K;329750;325006;36449;329599;324950;35265;151;56;1184
2021-11-09;Sjælland;M;318224;313454;23599;318085;313411;22791;139;43;808
2021-11-09;Syddanmark;K;480522;473531;50763;480313;473451;48894;209;80;1869
2021-11-09;Syddanmark;M;468121;460819;33267;467929;460730;32175;192;89;1092
