"Vaccinenavn";"Regionsnavn";"Antal første vacc.";"Antal faerdigvacc."
AstraZeneca Covid-19 vaccine;Nordjylland;16982;54
AstraZeneca Covid-19 vaccine;Midtjylland;33909;140
AstraZeneca Covid-19 vaccine;Syddanmark;30725;401
AstraZeneca Covid-19 vaccine;Hovedstaden;46022;760
AstraZeneca Covid-19 vaccine;Sjælland;23968;431
Janssen COVID-19 vaccine;Nordjylland;3640;3640
Janssen COVID-19 vaccine;Midtjylland;9835;9835
Janssen COVID-19 vaccine;Syddanmark;7511;7511
Janssen COVID-19 vaccine;Hovedstaden;22508;22508
Janssen COVID-19 vaccine;Sjælland;2818;2818
Moderna Covid-19 Vaccine;Nordjylland;70230;69049
Moderna Covid-19 Vaccine;Midtjylland;122733;120093
Moderna Covid-19 Vaccine;Syddanmark;131644;157676
Moderna Covid-19 Vaccine;Hovedstaden;148854;144701
Moderna Covid-19 Vaccine;Sjælland;82559;102903
Pfizer BioNTech Covid-19 vacc;Nordjylland;373476;384303
Pfizer BioNTech Covid-19 vacc;Midtjylland;872105;892791
Pfizer BioNTech Covid-19 vacc;Syddanmark;778763;768762
Pfizer BioNTech Covid-19 vacc;Hovedstaden;1177568;1200014
Pfizer BioNTech Covid-19 vacc;Sjælland;538629;532308
