Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  32.538 (49);  34.379 (51);  66.917
10-19;  51.201 (50);  51.693 (50); 102.894
20-29;  53.932 (50);  54.882 (50); 108.814
30-39;  41.974 (51);  39.913 (49);  81.887
40-49;  44.276 (52);  40.712 (48);  84.988
50-59;  34.674 (50);  35.180 (50);  69.854
60-69;  18.824 (49);  19.648 (51);  38.472
70-79;  11.728 (49);  11.970 (51);  23.698
80-89;   5.166 (55);   4.164 (45);   9.330
90+;   1.670 (69);     750 (31);   2.420
I alt; 295.983 (50); 293.291 (50); 589.274
