Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden;1.535.983; 116.415;   6.961;   1.314
Sjælland; 639.875;  33.462;   2.407;     402
Syddanmark; 955.442;  35.156;   1.694;     218
Midtjylland;1.041.578;  42.363;   2.038;     351
Nordjylland; 490.149;  16.533;     874;     183
I alt i Danmark;4.663.027; 243.929;  13.974;   2.468
