Dato;AG_testede;AG_pos;AGpos_PCRkonf;Andel_AGpos_PCRkonf_pct;AGpos_minusPCRkonf;Andel_AGminusPCRkonf_pct;AGpos_PCRpos;AGposPCRneg;AGnegPCRpos;AGnegPCRneg
2021-02-01;4797;8;4;50;4;50;2;2;2;293
2021-02-02;4618;8;5;62,5;3;37,5;5;0;5;308
2021-02-03;4842;9;5;55,5555555555556;4;44,4444444444444;5;0;6;343
2021-02-04;4480;4;2;50;2;50;2;0;5;322
2021-02-05;4344;7;5;71,4285714285714;2;28,5714285714286;4;1;6;280
2021-02-06;2578;8;6;75;2;25;6;0;3;262
2021-02-07;3010;11;7;63,6363636363636;4;36,3636363636364;7;0;6;326
2021-02-08;6931;11;6;54,5454545454545;5;45,4545454545455;6;0;5;439
2021-02-09;6059;6;4;66,6666666666667;2;33,3333333333333;4;0;5;390
2021-02-10;7039;13;5;38,4615384615385;8;61,5384615384615;4;1;1;498
2021-02-11;9009;11;6;54,5454545454545;5;45,4545454545455;5;1;3;535
2021-02-12;9151;9;4;44,4444444444444;5;55,5555555555556;3;1;4;477
2021-02-13;4824;13;7;53,8461538461539;6;46,1538461538462;6;1;6;339
2021-02-14;4773;13;9;69,2307692307692;4;30,7692307692308;7;2;9;435
2021-02-15;17078;48;24;50;24;50;17;7;25;1155
2021-02-16;16863;59;44;74,5762711864407;15;25,4237288135593;33;10;19;1340
2021-02-17;26056;85;52;61,1764705882353;33;38,8235294117647;43;9;20;2014
2021-02-18;29923;51;40;78,4313725490196;11;21,5686274509804;33;4;30;1801
2021-02-19;34079;86;54;62,7906976744186;32;37,2093023255814;42;12;37;1829
2021-02-20;21586;62;41;66,1290322580645;21;33,8709677419355;33;8;36;1624
2021-02-21;20184;94;66;70,2127659574468;28;29,7872340425532;59;4;41;1693
2021-02-22;25531;82;62;75,609756097561;20;24,390243902439;45;15;27;1900
2021-02-23;29374;100;70;70;30;30;58;10;34;2042
2021-02-24;29647;91;57;62,6373626373626;34;37,3626373626374;43;12;33;2117
2021-02-25;28192;85;53;62,3529411764706;32;37,6470588235294;44;9;20;1624
2021-02-26;36128;77;49;63,6363636363636;28;36,3636363636364;35;14;41;1826
2021-02-27;22399;71;49;69,0140845070423;22;30,9859154929577;43;6;17;1560
2021-02-28;24256;93;68;73,1182795698925;25;26,8817204301075;55;13;29;1973
2021-03-01;35130;73;56;76,7123287671233;17;23,2876712328767;37;17;17;2201
2021-03-02;38088;90;73;81,1111111111111;17;18,8888888888889;47;24;25;2080
2021-03-03;43796;105;73;69,5238095238095;32;30,4761904761905;36;37;43;3334
2021-03-04;55978;178;147;82,5842696629213;31;17,4157303370787;48;95;31;3608
2021-03-05;64357;168;133;79,1666666666667;35;20,8333333333333;44;88;55;4107
2021-03-06;38392;132;102;77,2727272727273;30;22,7272727272727;51;51;59;3055
2021-03-07;40242;204;167;81,8627450980392;37;18,1372549019608;58;105;61;3522
2021-03-08;64047;233;200;85,8369098712447;33;14,1630901287554;79;121;79;3927
2021-03-09;62668;190;169;88,9473684210526;21;11,0526315789474;62;106;63;3412
2021-03-10;57769;236;199;84,3220338983051;37;15,6779661016949;78;121;66;3842
2021-03-11;58880;170;148;87,0588235294118;22;12,9411764705882;51;97;43;3528
2021-03-12;60332;168;130;77,3809523809524;38;22,6190476190476;34;96;31;2975
2021-03-13;55786;152;119;78,2894736842105;33;21,7105263157895;56;60;64;3355
2021-03-14;72733;177;146;82,4858757062147;31;17,5141242937853;50;95;83;4151
2021-03-15;110515;262;226;86,2595419847328;36;13,7404580152672;107;114;105;5675
