"Regionsnavn","Antal første vacc. personer","Antal faerdigvacc. personer","Antal borgere"
Nordjylland,68377,37874,590407
Midtjylland,145805,78298,1333135
Syddanmark,140449,69064,1223964
Hovedstaden,196438,96043,1856045
Sjælland,95931,50282,839307
