"dato","Regionsnavn","sex","Paabegyndt vacc. idag","Faerdigvacc. idag","Paabegyndt vacc. igaar","Faerdigvacc. igaar","Paabegyndt vacc. difference","Faerdigvaccineret difference"
2021-03-24,Hovedstaden,K,127614,62676,126494,62590,1120,86
2021-03-24,Hovedstaden,M,68824,33367,67909,33315,915,52
2021-03-24,Midtjylland,K,97113,51723,96519,50005,594,1718
2021-03-24,Midtjylland,M,48692,26575,48191,24889,501,1686
2021-03-24,Nordjylland,K,45703,24729,45526,23454,177,1275
2021-03-24,Nordjylland,M,22674,13145,22497,12152,177,993
2021-03-24,Sjælland,K,62271,31978,61279,31739,992,239
2021-03-24,Sjælland,M,33660,18304,32687,18047,973,257
2021-03-24,Syddanmark,K,91755,45400,91344,44640,411,760
2021-03-24,Syddanmark,M,48694,23664,48242,23047,452,617
