"Regionsnavn","Antal første vacc.","Antal faerdigvacc.","Vacc.dækning foerste vacc. (%)","Vacc.dækning faerdigvacc. (%)","Antal borgere"
Nordjylland,68377,37874,11.6,6.4,590407
Midtjylland,145805,78298,10.9,5.9,1333135
Syddanmark,140449,69064,11.5,5.6,1223964
Hovedstaden,196438,96043,10.6,5.2,1856045
Sjælland,95931,50282,11.4,6.0,839307
