"Kommunenavn","Antal første vacc. personer","Antal faerdigvacc. personer","Antal borgere"
København,187781,104733,638836
Frederiksberg,39960,23698,102990
Ballerup,21907,12455,49034
Brøndby,15062,8821,35450
Dragør,7410,4287,14591
Gentofte,35591,19356,74244
Gladsaxe,28269,15883,68906
Glostrup,10035,5844,23494
Herlev,12420,7287,28787
Albertslund,11169,6550,27155
Hvidovre,22027,12832,53264
Høje-Taastrup,21243,12168,52402
Lyngby-Taarbæk,25419,14274,57083
Rødovre,16914,9817,41193
Ishøj,8748,5102,23049
Tårnby,18621,10632,42685
Vallensbæk,7003,4138,16570
Furesø,19597,11162,41136
Allerød,12681,6895,25932
Fredensborg,19688,11773,40994
Helsingør,30866,18906,63124
Hillerød,24269,13943,51964
Hørsholm,13306,8081,24803
Rudersdal,27647,15679,57126
Egedal,20545,10721,44046
Frederikssund,23805,13762,45760
Greve,21072,12208,50681
Køge,25995,14096,61624
Frederiksværk-Hundested,16516,10524,31480
Roskilde,38473,20725,88859
Solrød,9653,5371,23468
Gribskov,22210,13541,41196
Odsherred,17481,10269,32946
Holbæk,34007,17673,72319
Faxe,16235,8697,36934
Kalundborg,23236,12044,48397
Ringsted,13567,7070,35043
Slagelse,37687,20071,79513
Stevns,10633,6106,23268
Sorø,14313,7429,29941
Lejre,13016,7147,28443
Lolland,20866,11064,40345
Næstved,38016,20013,83419
Guldborgsund,31707,17130,60442
Vordingborg,22709,12421,45267
Bornholm,23578,13769,39783
Middelfart,17281,10476,39401
Assens,18216,10619,40861
Faaborg-Midtfyn,23055,13523,51726
Kerteminde,11069,6551,23870
Nyborg,13911,8292,32043
Odense,75141,45469,204900
Svendborg,26787,15845,58850
Nordfyns,13029,7662,29575
Langeland,6612,3925,12338
Ærø,3195,2185,6007
Haderslev,21187,12827,55399
Billund,10289,5937,26540
Sønderborg,33407,18005,73751
Tønder,14758,8758,37006
Esbjerg,52642,27627,115541
Fanø,1904,1142,3448
Varde,23513,12261,49738
Vejen,16203,9726,42803
Aabenraa,25430,13445,58559
Fredericia,20784,12423,51434
Horsens,34005,19646,92969
Kolding,32831,19946,93031
Vejle,43177,25963,117881
Herning,35327,20378,89362
Holstebro,23770,13898,58653
Lemvig,9389,5270,19522
Struer,9857,5842,20823
Syddjurs,19591,11336,43475
Norddjurs,16875,9979,36991
Favrskov,18561,10816,48604
Odder,10029,5935,23044
Randers,38222,22943,98447
Silkeborg,38786,21810,96275
Samsø,2215,1234,3699
Skanderborg,24144,13517,63737
Århus,117607,66316,352402
Ikast-Brande,16364,9371,41703
Ringkøbing-Skjern,24761,13693,56296
Hedensted,19164,11016,46939
Morsø,9038,5524,20078
Skive,20964,12111,45301
Thisted,18171,11186,43115
Viborg,40041,23851,96642
Brønderslev-Dronninglund,14238,8596,36073
Frederikshavn,27084,15320,58972
Vesthimmerlands,15626,9249,36356
Læsø,1405,834,1778
Rebild,11390,6747,30543
Mariagerfjord,17517,10866,41573
Jammerbugt,15593,9339,38189
Ålborg,77690,46707,219568
Hjørring,26529,16955,64059
