"Vaccinenavn","Regionsnavn","Antal første vacc.","Antal faerdigvacc."
AstraZeneca Covid-19 vaccine,Nordjylland,16922,8
AstraZeneca Covid-19 vaccine,Midtjylland,33770,136
AstraZeneca Covid-19 vaccine,Syddanmark,30606,391
AstraZeneca Covid-19 vaccine,Hovedstaden,45479,369
AstraZeneca Covid-19 vaccine,Sjælland,23902,343
Janssen COVID-19 vaccine,Nordjylland,553,553
Janssen COVID-19 vaccine,Midtjylland,1898,1898
Janssen COVID-19 vaccine,Syddanmark,1143,1143
Janssen COVID-19 vaccine,Hovedstaden,6728,6728
Janssen COVID-19 vaccine,Sjælland,839,839
Moderna Covid-19 Vaccine,Nordjylland,26543,7075
Moderna Covid-19 Vaccine,Midtjylland,36729,21145
Moderna Covid-19 Vaccine,Syddanmark,40104,47291
Moderna Covid-19 Vaccine,Hovedstaden,36377,32529
Moderna Covid-19 Vaccine,Sjælland,43827,40640
Pfizer BioNTech Covid-19 vacc,Nordjylland,190263,133687
Pfizer BioNTech Covid-19 vacc,Midtjylland,447275,275783
Pfizer BioNTech Covid-19 vacc,Syddanmark,432568,243782
Pfizer BioNTech Covid-19 vacc,Hovedstaden,655703,387007
Pfizer BioNTech Covid-19 vacc,Sjælland,320098,167712
