"dato","Regionsnavn","sex","Paabegyndt vacc. idag","Faerdigvacc. idag","Paabegyndt vacc. igaar","Faerdigvacc. igaar","Paabegyndt vacc. difference","Faerdigvaccineret difference"
2021-06-07,Hovedstaden,K,401797,248115,397207,244058,4590,4057
2021-06-07,Hovedstaden,M,342490,178518,337577,173792,4913,4726
2021-06-07,Midtjylland,K,281877,176454,281504,176299,373,155
2021-06-07,Midtjylland,M,237795,122508,237071,122082,724,426
2021-06-07,Nordjylland,K,127588,83531,125151,82635,2437,896
2021-06-07,Nordjylland,M,106693,57792,103743,56875,2950,917
2021-06-07,Sjælland,K,207981,122027,205087,121010,2894,1017
2021-06-07,Sjælland,M,180685,87507,177493,86370,3192,1137
2021-06-07,Syddanmark,K,272262,170647,268533,169641,3729,1006
2021-06-07,Syddanmark,M,232159,121960,227974,121116,4185,844
