Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden;1.448.164; 100.617;   6.184;   1.266
Sjælland; 591.410;  29.464;   2.175;     379
Syddanmark; 875.176;  28.631;   1.390;     204
Midtjylland; 960.434;  37.169;   1.829;     339
Nordjylland; 466.441;  14.481;     800;     177
I alt i Danmark;4.341.625; 210.362;  12.378;   2.365
