Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9; 143.149 (49); 151.435 (51); 294.584
10-19; 217.724 (50); 217.976 (50); 435.700
20-29; 185.948 (52); 169.758 (48); 355.706
30-39; 184.940 (53); 161.198 (47); 346.138
40-49; 178.626 (53); 156.696 (47); 335.322
50-59; 127.556 (51); 120.288 (49); 247.844
60-69;  68.155 (51);  65.706 (49); 133.861
70-79;  34.051 (49);  34.836 (51);  68.887
80-89;  12.897 (54);  10.822 (46);  23.719
90+;   4.189 (69);   1.858 (31);   6.047
I alt;1.157.252 (51);1.090.597 (49);2.247.850
