Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden;1.461.135; 102.171;   6.274;   1.274
Sjælland; 598.376;  30.004;   2.206;     382
Syddanmark; 887.260;  29.465;   1.441;     206
Midtjylland; 970.898;  37.622;   1.849;     340
Nordjylland; 469.836;  14.622;     807;     177
I alt i Danmark;4.387.505; 213.884;  12.577;   2.379
