"Vaccinenavn","Regionsnavn","Antal første vacc.","Antal faerdigvacc."
AstraZeneca Covid-19 vaccine,Nordjylland,10562,0
AstraZeneca Covid-19 vaccine,Midtjylland,22745,0
AstraZeneca Covid-19 vaccine,Syddanmark,23023,0
AstraZeneca Covid-19 vaccine,Hovedstaden,29486,0
AstraZeneca Covid-19 vaccine,Sjælland,17960,0
Moderna Covid-19 Vaccine,Nordjylland,3791,7
Moderna Covid-19 Vaccine,Midtjylland,3972,225
Moderna Covid-19 Vaccine,Syddanmark,5409,2349
Moderna Covid-19 Vaccine,Hovedstaden,2225,6
Moderna Covid-19 Vaccine,Sjælland,1243,3
Pfizer BioNTech Covid-19 vacc,Nordjylland,36530,19291
Pfizer BioNTech Covid-19 vacc,Midtjylland,82540,41614
Pfizer BioNTech Covid-19 vacc,Syddanmark,75512,38153
Pfizer BioNTech Covid-19 vacc,Hovedstaden,111955,60413
Pfizer BioNTech Covid-19 vacc,Sjælland,52299,26108
