Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden;1.550.975; 121.074;   7.121;   1.331
Sjælland; 647.343;  34.570;   2.462;     402
Syddanmark; 966.812;  36.584;   1.731;     219
Midtjylland;1.055.123;  44.235;   2.100;     352
Nordjylland; 494.370;  17.369;     908;     185
I alt i Danmark;4.714.623; 253.832;  14.322;   2.489
