"Regionsnavn","Antal første vacc.","Antal faerdigvacc.","Vacc.dækning foerste vacc. (%)","Vacc.dækning faerdigvacc. (%)","Antal borgere"
Nordjylland,87808,44659,14.9,7.6,590407
Midtjylland,192751,99670,14.5,7.5,1333543
Syddanmark,170048,96229,13.9,7.9,1224220
Hovedstaden,254127,127673,13.7,6.9,1855952
Sjælland,130537,63574,15.5,7.6,839678
