"Kommunenavn","Antal første vacc. personer","Antal faerdigvacc. personer","Antal borgere"
København,63467,30363,638746
Frederiksberg,14380,7006,103261
Ballerup,7594,3580,49088
Brøndby,5560,2812,35380
Dragør,2446,1209,14557
Gentofte,11444,5968,74336
Gladsaxe,9706,5195,69078
Glostrup,3859,2195,23488
Herlev,4518,2418,28778
Albertslund,4018,2076,27181
Hvidovre,8071,4486,53302
Høje-Taastrup,7673,3815,52161
Lyngby-Taarbæk,8525,4588,56923
Rødovre,5847,3266,41208
Ishøj,3041,1445,23073
Tårnby,6240,3234,42669
Vallensbæk,2702,1275,16564
Furesø,6611,3629,40978
Allerød,4006,2137,25868
Fredensborg,6471,3469,41026
Helsingør,10518,5385,63052
Hillerød,8604,4408,51755
Hørsholm,4533,2504,24861
Rudersdal,9489,4972,57023
Egedal,6230,2769,43702
Frederikssund,7991,3797,45648
Greve,7088,3665,50590
Køge,8582,4457,61527
Frederiksværk-Hundested,5725,2780,31471
Roskilde,13221,6827,88728
Solrød,3108,1649,23467
Gribskov,7156,3431,41029
Odsherred,5858,2725,32923
Holbæk,11256,5414,72046
Faxe,5094,2665,36797
Kalundborg,7483,3455,48411
Ringsted,4465,2201,35002
Slagelse,13558,5819,79309
Stevns,3574,1929,23225
Sorø,4945,2286,29939
Lejre,4258,2211,28384
Lolland,6706,3314,40392
Næstved,12848,6376,83346
Guldborgsund,11116,5131,60362
Vordingborg,7377,3450,45230
Bornholm,7702,3461,39746
Middelfart,6044,3612,39314
Assens,5629,3043,40877
Faaborg-Midtfyn,7221,4067,51676
Kerteminde,3653,1914,23848
Nyborg,4944,2419,31973
Odense,28545,14671,204931
Svendborg,9263,5756,58845
Nordfyns,4294,2234,29540
Langeland,2106,1261,12341
Ærø,978,756,5997
Haderslev,6622,3999,55358
Billund,3453,1963,26500
Sønderborg,9975,6175,73790
Tønder,4492,2804,37038
Esbjerg,17974,9245,115583
Fanø,485,319,3438
Varde,7253,4138,49715
Vejen,5882,3470,42796
Aabenraa,6406,3960,58576
Fredericia,7285,4500,51373
Horsens,12047,6326,92693
Kolding,11610,7054,93119
Vejle,15934,8869,117592
Herning,13496,7593,89323
Holstebro,9035,4813,58674
Lemvig,3331,1829,19540
Struer,3600,1954,20819
Syddjurs,6627,3575,43376
Norddjurs,5929,3514,36986
Favrskov,6628,3435,48487
Odder,3726,2045,23025
Randers,14555,7872,98356
Silkeborg,14332,7558,95984
Samsø,735,555,3699
Skanderborg,8729,4269,63514
Århus,45538,21007,352368
Ikast-Brande,5893,2959,41581
Ringkøbing-Skjern,8755,4665,56156
Hedensted,6395,3391,46887
Morsø,3430,2187,20080
Skive,7700,4088,45379
Thisted,6028,3358,43124
Viborg,15700,8222,96696
Brønderslev-Dronninglund,5493,2823,36116
Frederikshavn,9633,4825,58953
Vesthimmerlands,5891,2851,36354
Læsø,547,266,1778
Rebild,4085,2058,30522
Mariagerfjord,6378,3278,41584
Jammerbugt,5470,2596,38180
Ålborg,30540,15310,219620
Hjørring,10313,5107,64096
