"Regionsnavn","Aldersgruppe","sex","Antal første vacc.","Antal faerdigvacc."
Hovedstaden,0-9,K,2,1
Hovedstaden,0-9,M,0,0
Hovedstaden,10-19,K,621,241
Hovedstaden,10-19,M,353,168
Hovedstaden,20-29,K,12047,4486
Hovedstaden,20-29,M,4822,1842
Hovedstaden,30-39,K,13080,6113
Hovedstaden,30-39,M,6250,3126
Hovedstaden,40-49,K,18654,8881
Hovedstaden,40-49,M,7455,3911
Hovedstaden,50-59,K,21803,10928
Hovedstaden,50-59,M,10241,5828
Hovedstaden,60-69,K,17837,11463
Hovedstaden,60-69,M,12055,7993
Hovedstaden,70-79,K,30750,11269
Hovedstaden,70-79,M,27196,9852
Hovedstaden,80-89,K,35382,19057
Hovedstaden,80-89,M,23775,11790
Hovedstaden,90+,K,8615,7837
Hovedstaden,90+,M,3189,2887
Midtjylland,0-9,K,0,0
Midtjylland,0-9,M,0,0
Midtjylland,10-19,K,743,317
Midtjylland,10-19,M,284,125
Midtjylland,20-29,K,9704,3392
Midtjylland,20-29,M,3349,1090
Midtjylland,30-39,K,10364,4573
Midtjylland,30-39,M,3724,1501
Midtjylland,40-49,K,14669,6512
Midtjylland,40-49,M,4662,1883
Midtjylland,50-59,K,17512,7862
Midtjylland,50-59,M,5805,2367
Midtjylland,60-69,K,15002,9258
Midtjylland,60-69,M,8988,5883
Midtjylland,70-79,K,20391,9067
Midtjylland,70-79,M,20142,9254
Midtjylland,80-89,K,27269,16031
Midtjylland,80-89,M,20733,11509
Midtjylland,90+,K,6523,6269
Midtjylland,90+,M,2887,2777
Nordjylland,0-9,K,1,0
Nordjylland,0-9,M,0,0
Nordjylland,10-19,K,288,130
Nordjylland,10-19,M,104,54
Nordjylland,20-29,K,3985,1541
Nordjylland,20-29,M,1482,653
Nordjylland,30-39,K,4761,1952
Nordjylland,30-39,M,1623,713
Nordjylland,40-49,K,6681,2828
Nordjylland,40-49,M,2192,936
Nordjylland,50-59,K,8872,4096
Nordjylland,50-59,M,2892,1463
Nordjylland,60-69,K,6311,3851
Nordjylland,60-69,M,3463,2365
Nordjylland,70-79,K,7769,3113
Nordjylland,70-79,M,7713,3132
Nordjylland,80-89,K,13966,7648
Nordjylland,80-89,M,10830,5499
Nordjylland,90+,K,3334,3204
Nordjylland,90+,M,1541,1481
Sjælland,0-9,K,0,0
Sjælland,0-9,M,1,1
Sjælland,10-19,K,371,121
Sjælland,10-19,M,182,83
Sjælland,20-29,K,3818,1344
Sjælland,20-29,M,1517,628
Sjælland,30-39,K,5960,2278
Sjælland,30-39,M,2096,871
Sjælland,40-49,K,9917,3969
Sjælland,40-49,M,3183,1375
Sjælland,50-59,K,12411,5051
Sjælland,50-59,M,4639,2128
Sjælland,60-69,K,10092,5593
Sjælland,60-69,M,6940,4226
Sjælland,70-79,K,15133,5912
Sjælland,70-79,M,15648,6332
Sjælland,80-89,K,18359,10509
Sjælland,80-89,M,14265,7626
Sjælland,90+,K,4220,3872
Sjælland,90+,M,1785,1655
Syddanmark,0-9,K,1,0
Syddanmark,0-9,M,0,0
Syddanmark,10-19,K,603,213
Syddanmark,10-19,M,254,116
Syddanmark,20-29,K,7108,2535
Syddanmark,20-29,M,2596,1169
Syddanmark,30-39,K,8918,4042
Syddanmark,30-39,M,3379,1719
Syddanmark,40-49,K,13487,6208
Syddanmark,40-49,M,4607,2531
Syddanmark,50-59,K,16658,8117
Syddanmark,50-59,M,6359,3711
Syddanmark,60-69,K,12641,7828
Syddanmark,60-69,M,8092,5771
Syddanmark,70-79,K,15630,7755
Syddanmark,70-79,M,15948,7999
Syddanmark,80-89,K,25048,16014
Syddanmark,80-89,M,18767,11151
Syddanmark,90+,K,6966,6533
Syddanmark,90+,M,2986,2817
