"dato","Regionsnavn","sex","Paabegyndt vacc. idag","Faerdigvacc. idag","Paabegyndt vacc. igaar","Faerdigvacc. igaar","Paabegyndt vacc. difference","Faerdigvaccineret difference"
2021-04-09,Hovedstaden,K,158791,80276,156900,79255,1891,1021
2021-04-09,Hovedstaden,M,95336,47397,93770,46710,1566,687
2021-04-09,Midtjylland,K,122177,63281,119561,62222,2616,1059
2021-04-09,Midtjylland,M,70574,36389,68378,35330,2196,1059
2021-04-09,Nordjylland,K,55968,28363,55338,27950,630,413
2021-04-09,Nordjylland,M,31840,16296,31271,15895,569,401
2021-04-09,Sjælland,K,80281,38649,79224,37628,1057,1021
2021-04-09,Sjælland,M,50256,24925,49386,23997,870,928
2021-04-09,Syddanmark,K,107060,59245,105926,58433,1134,812
2021-04-09,Syddanmark,M,62988,36984,61825,36212,1163,772
