"Vaccinenavn","Regionsnavn","Antal første vacc.","Antal faerdigvacc."
AstraZeneca Covid-19 vaccine,Nordjylland,16868,0
AstraZeneca Covid-19 vaccine,Midtjylland,33614,3
AstraZeneca Covid-19 vaccine,Syddanmark,30421,249
AstraZeneca Covid-19 vaccine,Hovedstaden,45116,11
AstraZeneca Covid-19 vaccine,Sjælland,23870,330
Moderna Covid-19 Vaccine,Nordjylland,4551,4023
Moderna Covid-19 Vaccine,Midtjylland,16276,4171
Moderna Covid-19 Vaccine,Syddanmark,14477,5709
Moderna Covid-19 Vaccine,Hovedstaden,20242,3797
Moderna Covid-19 Vaccine,Sjælland,10069,3110
Pfizer BioNTech Covid-19 vacc,Nordjylland,66389,40636
Pfizer BioNTech Covid-19 vacc,Midtjylland,142861,95496
Pfizer BioNTech Covid-19 vacc,Syddanmark,125150,90271
Pfizer BioNTech Covid-19 vacc,Hovedstaden,188769,123865
Pfizer BioNTech Covid-19 vacc,Sjælland,96598,60134
