Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;     350 (49);     368 (51);     718
10-19;     847 (51);     813 (49);   1.660
20-29;   1.851 (55);   1.500 (45);   3.351
30-39;   1.560 (55);   1.287 (45);   2.847
40-49;   1.765 (57);   1.354 (43);   3.119
50-59;   1.776 (56);   1.373 (44);   3.149
60-69;     912 (49);     968 (51);   1.880
70-79;     600 (46);     709 (54);   1.309
80-89;     515 (57);     388 (43);     903
90+;     202 (72);      78 (28);     280
I alt;  10.378 (54);   8.838 (46);  19.216
