"dato";"Regionsnavn";"sex";"Paabegyndt vacc. idag";"Faerdigvacc. idag";"Revacc. 1 idag";"Paabegyndt vacc. igaar";"Faerdigvacc. igaar";"Revacc. 1 igaar";"Paabegyndt vacc. difference";"Faerdigvaccineret difference";"Revacc. 1 difference"
2021-12-17;Hovedstaden;K;750604;721067;282268;747180;719776;246222;3424;1291;36046
2021-12-17;Hovedstaden;M;704588;674471;231006;701042;673257;194501;3546;1214;36505
2021-12-17;Midtjylland;K;552079;527809;204385;549747;526947;180525;2332;862;23860
2021-12-17;Midtjylland;M;540381;514630;160421;537953;513749;136184;2428;881;24237
2021-12-17;Nordjylland;K;242050;232980;80719;241345;232783;74791;705;197;5928
2021-12-17;Nordjylland;M;241711;231719;59711;240988;231535;54273;723;184;5438
2021-12-17;Sjælland;K;343405;331135;132789;342111;330647;119406;1294;488;13383
2021-12-17;Sjælland;M;332662;319478;104837;331234;318921;91016;1428;557;13821
2021-12-17;Syddanmark;K;503203;482390;183001;501352;481764;160770;1851;626;22231
2021-12-17;Syddanmark;M;492170;469592;142340;490233;469032;121221;1937;560;21119
