"Regionsnavn";"Antal første vacc. personer";"Antal faerdigvacc. personer";"Antal borgere"
Nordjylland;483761;464699;591895
Midtjylland;1092460;1042439;1342043
Syddanmark;995373;951982;1228455
Hovedstaden;1455192;1395538;1868641
Sjælland;676067;650613;843445
