"Kommunenavn";"Antal første vacc.";"Antal faerdigvacc.";"Antal 1. revacc.";"Vacc.dækning foerste vacc. (%)";"Vacc.dækning faerdigvacc. (%)";"Vacc.dækning 1. revacc. (%)";"Antal borgere"
København;493372;473058;137144;76.5;73.3;21.3;645076
Frederiksberg;84665;81411;31918;81.6;78.4;30.8;103790
Ballerup;37697;36266;13666;76.6;73.7;27.8;49206
Brøndby;25047;24017;9406;70.3;67.4;26.4;35639
Dragør;11820;11337;5369;80.8;77.5;36.7;14625
Gentofte;60272;57451;27041;81.2;77.4;36.4;74236
Gladsaxe;53475;51172;19034;77.2;73.9;27.5;69287
Glostrup;17722;17034;6674;75.5;72.5;28.4;23485
Herlev;21914;20975;8518;76.0;72.7;29.5;28853
Albertslund;19936;18883;6969;72.3;68.5;25.3;27567
Hvidovre;40004;38264;14528;75.1;71.8;27.3;53271
Høje Tåstrup;38335;36451;13452;72.5;68.9;25.4;52911
Lyngby-Taarbæk;46992;44886;18773;81.2;77.5;32.4;57890
Rødovre;31016;29686;11300;74.9;71.7;27.3;41415
Ishøj;15670;14896;5841;67.5;64.2;25.2;23201
Tårnby;33118;31648;11840;77.5;74.1;27.7;42723
Vallensbæk;12160;11544;4696;73.7;70.0;28.5;16489
Furesø;32911;31436;13638;79.5;75.9;32.9;41413
Allerød;21217;20379;8381;82.0;78.8;32.4;25874
Fredensborg;32340;31161;12700;78.6;75.7;30.9;41157
Helsingør;50424;48455;20160;80.1;76.9;32.0;62976
Hillerød;42541;40984;14852;79.9;77.0;27.9;53237
Hørsholm;20557;19871;9513;83.0;80.3;38.4;24756
Rudersdal;46900;44948;20542;81.9;78.4;35.9;57298
Egedal;35816;34315;12979;80.7;77.3;29.3;44372
Frederikssund;37486;36232;15055;81.9;79.2;32.9;45770
Greve;39535;37895;15385;77.8;74.6;30.3;50812
Køge;48955;47218;16406;79.3;76.5;26.6;61739
Halsnæs;25272;24518;10184;80.7;78.3;32.5;31330
Roskilde;72908;70045;26152;81.5;78.3;29.2;89454
Solrød;18829;18127;6753;79.2;76.3;28.4;23760
Gribskov;33201;32236;13427;80.7;78.4;32.6;41135
Odsherred;27089;26266;10078;82.4;79.9;30.6;32883
Holbæk;59069;56639;19923;81.1;77.8;27.4;72817
Faxe;29588;28505;9309;79.6;76.7;25.1;37157
Kalundborg;38805;37399;13068;80.1;77.2;27.0;48435
Ringsted;27264;26120;7165;77.7;74.4;20.4;35109
Slagelse;63097;60600;22300;79.2;76.1;28.0;79657
Stevns;18933;18263;6554;80.6;77.8;27.9;23480
Sorø;24348;23427;8197;81.2;78.1;27.3;29985
Lejre;23068;22140;8492;80.6;77.3;29.7;28626
Lolland;32189;30977;13191;80.2;77.2;32.9;40118
Næstved;67373;64654;21998;80.4;77.2;26.3;83755
Guldborgsund;48479;46959;19303;80.4;77.9;32.0;60281
Vordingborg;36538;35379;13352;80.5;78.0;29.4;45377
Bornholm;33312;32024;15674;84.0;80.7;39.5;39659
Middelfart;33056;31456;12390;83.5;79.5;31.3;39590
Assens;34019;32633;11073;83.0;79.6;27.0;41008
Faaborg-Midtfyn;42762;41029;14439;82.5;79.1;27.9;51842
Kerteminde;19975;19208;7339;83.1;79.9;30.5;24031
Nyborg;26669;25645;8459;83.1;79.9;26.3;32104
Odense;167551;160910;50618;81.3;78.1;24.6;206094
Svendborg;49008;47067;16787;82.8;79.5;28.4;59185
Nordfyn;24206;23314;8102;81.4;78.4;27.2;29743
Langeland;10318;10035;3817;83.8;81.5;31.0;12310
Ærø;5168;5013;2141;85.8;83.2;35.6;6022
Haderslev;44465;42564;12901;80.3;76.9;23.3;55382
Billund;21519;20575;6834;80.8;77.3;25.7;26630
Sønderborg;59743;57542;19167;81.1;78.1;26.0;73657
Tønder;29127;28057;8027;79.0;76.1;21.8;36860
Esbjerg;92705;88638;32329;80.3;76.8;28.0;115463
Fanø;2891;2799;1231;84.4;81.7;35.9;3426
Varde;39838;38219;13969;80.2;76.9;28.1;49684
Vejen;33943;32160;11357;79.6;75.4;26.6;42636
Aabenraa;46142;44180;14753;78.6;75.3;25.1;58676
Fredericia;41925;39858;14189;81.2;77.2;27.5;51612
Horsens;74622;70824;24926;79.0;75.0;26.4;94410
Kolding;75076;70938;24108;80.2;75.8;25.8;93595
Vejle;95267;90142;31311;80.1;75.8;26.3;118905
Herning;72848;69082;24282;81.6;77.4;27.2;89274
Holstebro;48099;45732;16178;82.1;78.1;27.6;58561
Lemvig;16243;15604;6157;83.7;80.4;31.7;19409
Struer;17441;16664;6344;83.9;80.2;30.5;20790
Syddjurs;35710;34390;12203;81.9;78.9;28.0;43587
Norddjurs;30398;29271;11284;82.2;79.2;30.5;36959
Favrskov;39989;37950;12520;81.8;77.6;25.6;48878
Odder;19284;18638;7140;82.8;80.1;30.7;23281
Randers;80066;76756;26778;80.9;77.6;27.1;98941
Silkeborg;78454;74759;26716;80.6;76.8;27.5;97283
Samsø;3149;3070;1369;84.5;82.4;36.8;3725
Skanderborg;52116;49423;17433;81.1;76.9;27.1;64276
Århus;288634;276182;89395;81.2;77.7;25.1;355475
Ikast-Brande;33477;31728;11234;79.9;75.7;26.8;41912
Ringkøbing-Skjern;45548;43647;16360;81.0;77.6;29.1;56221
Hedensted;38513;36728;13223;81.7;77.9;28.1;47124
Morsø;16554;15946;5098;82.6;79.5;25.4;20047
Skive;37812;36126;13073;83.9;80.2;29.0;45049
Thisted;34991;33888;10160;81.2;78.6;23.6;43094
Viborg;80057;75865;28191;82.6;78.3;29.1;96888
Brønderslev;29386;28015;8215;81.2;77.4;22.7;36176
Frederikshavn;49089;46799;16037;83.4;79.5;27.2;58868
Vesthimmerland;29063;28071;9177;80.0;77.2;25.3;36344
Læsø;1489;1455;934;84.1;82.2;52.8;1770
Rebild;24495;23468;6938;79.9;76.6;22.6;30646
Mariagerfjord;34109;32884;10732;81.9;78.9;25.8;41652
Jammerbugt;31158;29893;8986;81.6;78.3;23.5;38181
Aalborg;180594;173602;47797;81.6;78.5;21.6;221243
Hjørring;52833;50678;16356;82.7;79.3;25.6;63874
