"Regionsnavn";"Antal første vacc.";"Antal faerdigvacc.";"Antal 1. revacc.";"Vacc.dækning foerste vacc. (%)";"Vacc.dækning faerdigvacc. (%)";"Vacc.dækning 1. revacc. (%)";"Antal borgere"
Nordjylland;483761;464699;140430;81.7;78.5;23.7;591895
Midtjylland;1092460;1042439;364806;81.4;77.7;27.2;1342043
Syddanmark;995373;951982;325341;81.0;77.5;26.5;1228455
Hovedstaden;1455192;1395538;513274;77.9;74.7;27.5;1868641
Sjælland;676067;650613;237626;80.2;77.1;28.2;843445
