"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
0-2;K;9;2;90797;0.0;0.0
0-2;M;1;0;95813;0.0;0.0
3-5;K;2520;1;91039;2.8;0.0
3-5;M;2692;3;96251;2.8;0.0
6-11;K;47233;17;179752;26.3;0.0
6-11;M;50183;23;189051;26.5;0.0
12-15;K;114880;106657;144310;79.6;73.9
12-15;M;120770;112069;151964;79.5;73.7
16-19;K;122905;119536;137140;89.6;87.2
16-19;M;125364;121110;142245;88.1;85.1
20-39;K;612429;588148;732611;83.6;80.3
20-39;M;617258;592197;761647;81.0;77.8
40-64;K;888262;879736;952449;93.3;92.4
40-64;M;879058;869755;954489;92.1;91.1
65-79;K;450080;448846;464356;96.9;96.7
65-79;M;413300;412164;426077;97.0;96.7
80+;K;153023;152438;158627;96.5;96.1
80+;M;102886;102569;105861;97.2;96.9
