"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
0-9;K;26129;6;298144;8.8;0.0
0-9;M;27885;7;314847;8.9;0.0
10-19;K;261418;226207;344894;75.8;65.6
10-19;M;271125;233198;360477;75.2;64.7
20-29;K;315330;302521;381645;82.6;79.3
20-29;M;321556;307179;398356;80.7;77.1
30-39;K;297099;285627;350966;84.7;81.4
30-39;M;295702;285018;363291;81.4;78.5
40-49;K;343026;338159;374786;91.5;90.2
40-49;M;335117;329781;375576;89.2;87.8
50-59;K;377295;374432;401612;93.9;93.2
50-59;M;378153;375068;405027;93.4;92.6
60-69;K;325418;324082;339482;95.9;95.5
60-69;M;316422;315035;330139;95.8;95.4
70-79;K;292603;291909;300925;97.2;97.0
70-79;M;262666;262035;269824;97.3;97.1
80-89;K;127728;127305;131874;96.9;96.5
80-89;M;92709;92438;95256;97.3;97.0
90+;K;25295;25133;26753;94.6;93.9
90+;M;10177;10131;10605;96.0;95.5
