"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
0-2;K;8;2;90796;0.0;0.0
0-2;M;1;0;95813;0.0;0.0
3-5;K;2482;1;91001;2.7;0.0
3-5;M;2660;3;96219;2.8;0.0
6-11;K;46962;9;179481;26.2;0.0
6-11;M;49856;16;188724;26.4;0.0
12-15;K;103105;94679;132535;77.8;71.4
12-15;M;108825;99894;140019;77.7;71.3
16-19;K;120116;116788;134351;89.4;86.9
16-19;M;123573;119407;140454;88.0;85.0
20-39;K;612632;588286;732814;83.6;80.3
20-39;M;618521;593330;762910;81.1;77.8
40-64;K;882150;873591;946337;93.2;92.3
40-64;M;872366;863010;947797;92.0;91.1
65-79;K;456062;454800;470338;97.0;96.7
65-79;M;420418;419260;433195;97.1;96.8
80+;K;167824;167225;173428;96.8;96.4
80+;M;115292;114970;118267;97.5;97.2
