"Regionsnavn";"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc."
Hovedstaden;0-2;K;4;0
Hovedstaden;0-2;M;0;0
Hovedstaden;3-5;K;795;0
Hovedstaden;3-5;M;842;2
Hovedstaden;6-11;K;12054;4
Hovedstaden;6-11;M;12690;5
Hovedstaden;12-15;K;29443;26756
Hovedstaden;12-15;M;31214;28397
Hovedstaden;16-19;K;34146;32983
Hovedstaden;16-19;M;34776;33427
Hovedstaden;20-39;K;229079;220163
Hovedstaden;20-39;M;220205;211560
Hovedstaden;40-64;K;270726;267503
Hovedstaden;40-64;M;266005;262724
Hovedstaden;65-79;K;126448;125970
Hovedstaden;65-79;M;109194;108792
Hovedstaden;80+;K;47909;47688
Hovedstaden;80+;M;29662;29564
Midtjylland;0-2;K;2;1
Midtjylland;0-2;M;1;0
Midtjylland;3-5;K;733;0
Midtjylland;3-5;M;745;0
Midtjylland;6-11;K;13684;1
Midtjylland;6-11;M;14464;0
Midtjylland;12-15;K;25406;23359
Midtjylland;12-15;M;26495;24388
Midtjylland;16-19;K;29401;28709
Midtjylland;16-19;M;30103;29174
Midtjylland;20-39;K;146109;140886
Midtjylland;20-39;M;149016;143494
Midtjylland;40-64;K;198644;197069
Midtjylland;40-64;M;197322;195613
Midtjylland;65-79;K;101694;101487
Midtjylland;65-79;M;96239;96026
Midtjylland;80+;K;36406;36297
Midtjylland;80+;M;25996;25935
Nordjylland;0-2;K;0;0
Nordjylland;0-2;M;0;0
Nordjylland;3-5;K;188;0
Nordjylland;3-5;M;218;0
Nordjylland;6-11;K;4383;0
Nordjylland;6-11;M;4591;1
Nordjylland;12-15;K;10457;9527
Nordjylland;12-15;M;11224;10265
Nordjylland;16-19;K;12224;11936
Nordjylland;16-19;M;12771;12372
Nordjylland;20-39;K;58438;56089
Nordjylland;20-39;M;63434;60676
Nordjylland;40-64;K;88219;87460
Nordjylland;40-64;M;88447;87555
Nordjylland;65-79;K;49712;49592
Nordjylland;65-79;M;47618;47495
Nordjylland;80+;K;18429;18376
Nordjylland;80+;M;13408;13355
Sjælland;0-2;K;0;0
Sjælland;0-2;M;0;0
Sjælland;3-5;K;296;1
Sjælland;3-5;M;326;1
Sjælland;6-11;K;5784;0
Sjælland;6-11;M;6198;2
Sjælland;12-15;K;15255;14174
Sjælland;12-15;M;16202;14976
Sjælland;16-19;K;17777;17280
Sjælland;16-19;M;18854;18209
Sjælland;20-39;K;66247;63287
Sjælland;20-39;M;68342;65198
Sjælland;40-64;K;136028;134670
Sjælland;40-64;M;133427;131990
Sjælland;65-79;K;76030;75824
Sjælland;65-79;M;70671;70503
Sjælland;80+;K;25988;25899
Sjælland;80+;M;18642;18599
Syddanmark;0-2;K;2;1
Syddanmark;0-2;M;0;0
Syddanmark;3-5;K;470;0
Syddanmark;3-5;M;529;0
Syddanmark;6-11;K;11057;4
Syddanmark;6-11;M;11913;8
Syddanmark;12-15;K;22544;20863
Syddanmark;12-15;M;23690;21868
Syddanmark;16-19;K;26568;25880
Syddanmark;16-19;M;27069;26225
Syddanmark;20-39;K;112759;107861
Syddanmark;20-39;M;117524;112402
Syddanmark;40-64;K;188533;186889
Syddanmark;40-64;M;187165;185128
Syddanmark;65-79;K;102178;101927
Syddanmark;65-79;M;96696;96444
Syddanmark;80+;K;39092;38965
Syddanmark;80+;M;27584;27517
