Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;   2.572 (49);   2.697 (51);   5.269
10-19;   7.685 (48);   8.292 (52);  15.977
20-29;   9.181 (50);   9.172 (50);  18.353
30-39;   6.472 (50);   6.380 (50);  12.852
40-49;   7.480 (52);   6.851 (48);  14.331
50-59;   6.983 (51);   6.784 (49);  13.767
60-69;   3.399 (48);   3.747 (52);   7.146
70-79;   2.154 (49);   2.262 (51);   4.416
80-89;   1.170 (56);     918 (44);   2.088
90+;     419 (70);     181 (30);     600
I alt;  47.515 (50);  47.284 (50);  94.799
