Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden;1.209.874;  46.183;   2.751;     499
Sjælland; 466.699;  11.486;     927;     150
Syddanmark; 676.086;  12.272;     624;      63
Midtjylland; 773.414;  17.559;     889;     124
Nordjylland; 404.784;   6.253;     354;      65
I alt i Danmark;3.530.857;  93.753;   5.545;     901
